"SIM","YEAR","N","N_OBS"
1,1,1030,1030
1,2,890,890
1,3,921,921
1,4,985,985
1,5,1179,1179
1,6,139,139
1,7,142,142
1,8,151,151
1,9,173,173
1,10,177,177
1,11,188,188
1,12,192,192
1,13,208,208
1,14,222,222
1,15,219,219
1,16,223,223
1,17,228,228
1,18,222,222
1,19,210,210
1,20,207,207
1,21,208,208
1,22,201,201
1,23,194,194
1,24,190,190
1,25,191,191
1,26,191,191
1,27,181,181
1,28,178,178
1,29,174,174
1,30,172,172
1,31,165,165
1,32,164,164
1,33,160,160
1,34,156,156
1,35,148,148
1,36,144,144
1,37,144,144
1,38,138,138
1,39,131,131
1,40,127,127
1,41,123,123
1,42,118,118
1,43,114,114
1,44,109,109
1,45,104,104
1,46,99,99
1,47,93,93
1,48,87,87
1,49,81,81
1,50,77,77
1,51,76,76
1,52,68,68
1,53,68,68
1,54,62,62
1,55,60,60
1,56,56,56
1,57,50,50
1,58,48,48
1,59,46,46
1,60,41,41
1,61,40,40
1,62,37,37
1,63,34,34
1,64,31,31
1,65,26,26
1,66,22,22
1,67,21,21
1,68,22,22
1,69,18,18
1,70,14,14
1,71,12,12
1,72,8,8
1,73,8,8
1,74,7,7
1,75,3,3
1,76,2,2
1,77,2,2
1,78,3,3
1,79,2,2
1,80,3,3
1,81,NA,NA
1,82,NA,NA
1,83,NA,NA
1,84,NA,NA
1,85,NA,NA
1,86,NA,NA
1,87,NA,NA
1,88,NA,NA
1,89,NA,NA
1,90,NA,NA
1,91,NA,NA
1,92,NA,NA
1,93,NA,NA
1,94,NA,NA
1,95,NA,NA
1,96,NA,NA
1,97,NA,NA
1,98,NA,NA
1,99,NA,NA
1,100,NA,NA
2,1,1011,1011
2,2,770,770
2,3,754,754
2,4,761,761
2,5,879,879
2,6,908,908
2,7,933,933
2,8,964,964
2,9,1025,1025
2,10,965,965
2,11,1024,1024
2,12,573,573
2,13,612,612
2,14,646,646
2,15,674,674
2,16,707,707
2,17,744,744
2,18,774,774
2,19,803,803
2,20,843,843
2,21,871,871
2,22,913,913
2,23,954,954
2,24,999,999
2,25,1070,1070
2,26,1088,1088
2,27,357,357
2,28,384,384
2,29,414,414
2,30,450,450
2,31,477,477
2,32,498,498
2,33,534,534
2,34,575,575
2,35,614,614
2,36,638,638
2,37,669,669
2,38,697,697
2,39,728,728
2,40,752,752
2,41,787,787
2,42,822,822
2,43,861,861
2,44,903,903
2,45,954,954
2,46,1042,1042
2,47,437,437
2,48,461,461
2,49,498,498
2,50,523,523
2,51,567,567
2,52,595,595
2,53,605,605
2,54,640,640
2,55,666,666
2,56,692,692
2,57,724,724
2,58,754,754
2,59,790,790
2,60,834,834
2,61,882,882
2,62,961,961
2,63,1046,1046
2,64,941,941
2,65,1026,1026
2,66,876,876
2,67,976,976
2,68,1056,1056
2,69,550,550
2,70,584,584
2,71,608,608
2,72,635,635
2,73,668,668
2,74,689,689
2,75,725,725
2,76,758,758
2,77,798,798
2,78,870,870
2,79,950,950
2,80,1044,1044
2,81,986,986
2,82,1063,1063
2,83,917,917
2,84,995,995
2,85,1052,1052
2,86,960,960
2,87,1030,1030
2,88,1013,1013
2,89,1000,1000
2,90,1070,1070
2,91,1026,1026
2,92,971,971
2,93,1027,1027
2,94,951,951
2,95,998,998
2,96,1073,1073
2,97,934,934
2,98,1006,1006
2,99,866,866
2,100,938,938
3,1,1011,1011
3,2,782,782
3,3,813,813
3,4,871,871
3,5,1041,1041
3,6,183,183
3,7,208,208
3,8,238,238
3,9,272,272
3,10,281,281
3,11,286,286
3,12,309,309
3,13,328,328
3,14,347,347
3,15,356,356
3,16,378,378
3,17,400,400
3,18,420,420
3,19,442,442
3,20,460,460
3,21,483,483
3,22,526,526
3,23,591,591
3,24,631,631
3,25,662,662
3,26,710,710
3,27,788,788
3,28,848,848
3,29,916,916
3,30,990,990
3,31,1070,1070
3,32,1032,1032
3,33,800,800
3,34,888,888
3,35,983,983
3,36,1067,1067
3,37,490,490
3,38,548,548
3,39,585,585
3,40,619,619
3,41,688,688
3,42,754,754
3,43,821,821
3,44,893,893
3,45,982,982
3,46,1085,1085
3,47,925,925
3,48,1007,1007
3,49,892,892
3,50,969,969
3,51,1054,1054
3,52,897,897
3,53,993,993
3,54,1077,1077
3,55,525,525
3,56,554,554
3,57,612,612
3,58,676,676
3,59,735,735
3,60,791,791
3,61,872,872
3,62,943,943
3,63,1017,1017
3,64,940,940
3,65,1009,1009
3,66,878,878
3,67,946,946
3,68,988,988
3,69,1036,1036
3,70,785,785
3,71,844,844
3,72,918,918
3,73,974,974
3,74,1024,1024
3,75,925,925
3,76,1000,1000
3,77,1010,1010
3,78,822,822
3,79,875,875
3,80,945,945
3,81,994,994
3,82,1028,1028
3,83,893,893
3,84,951,951
3,85,957,957
3,86,980,980
3,87,992,992
3,88,1021,1021
3,89,908,908
3,90,925,925
3,91,935,935
3,92,947,947
3,93,967,967
3,94,990,990
3,95,984,984
3,96,1015,1015
3,97,954,954
3,98,981,981
3,99,1018,1018
3,100,868,868
4,1,663,663
4,2,690,690
4,3,702,702
4,4,745,745
4,5,874,874
4,6,930,930
4,7,1016,1016
4,8,1057,1057
4,9,189,189
4,10,207,207
4,11,221,221
4,12,241,241
4,13,248,248
4,14,251,251
4,15,249,249
4,16,243,243
4,17,238,238
4,18,223,223
4,19,229,229
4,20,219,219
4,21,219,219
4,22,210,210
4,23,214,214
4,24,207,207
4,25,202,202
4,26,194,194
4,27,191,191
4,28,186,186
4,29,182,182
4,30,175,175
4,31,173,173
4,32,166,166
4,33,167,167
4,34,158,158
4,35,156,156
4,36,147,147
4,37,149,149
4,38,141,141
4,39,141,141
4,40,133,133
4,41,137,137
4,42,127,127
4,43,131,131
4,44,123,123
4,45,120,120
4,46,121,121
4,47,117,117
4,48,114,114
4,49,107,107
4,50,102,102
4,51,99,99
4,52,96,96
4,53,95,95
4,54,87,87
4,55,87,87
4,56,81,81
4,57,81,81
4,58,77,77
4,59,70,70
4,60,64,64
4,61,59,59
4,62,56,56
4,63,52,52
4,64,51,51
4,65,46,46
4,66,45,45
4,67,47,47
4,68,39,39
4,69,39,39
4,70,37,37
4,71,32,32
4,72,29,29
4,73,25,25
4,74,19,19
4,75,16,16
4,76,13,13
4,77,12,12
4,78,12,12
4,79,9,9
4,80,4,4
4,81,3,3
4,82,4,4
4,83,3,3
4,84,3,3
4,85,3,3
4,86,5,5
4,87,6,6
4,88,5,5
4,89,8,8
4,90,9,9
4,91,10,10
4,92,5,5
4,93,5,5
4,94,6,6
4,95,4,4
4,96,4,4
4,97,4,4
4,98,4,4
4,99,5,5
4,100,5,5
5,1,1005,1005
5,2,NA,NA
5,3,NA,NA
5,4,NA,NA
5,5,NA,NA
5,6,NA,NA
5,7,NA,NA
5,8,NA,NA
5,9,NA,NA
5,10,NA,NA
5,11,NA,NA
5,12,NA,NA
5,13,NA,NA
5,14,NA,NA
5,15,NA,NA
5,16,NA,NA
5,17,NA,NA
5,18,NA,NA
5,19,NA,NA
5,20,NA,NA
5,21,NA,NA
5,22,NA,NA
5,23,NA,NA
5,24,NA,NA
5,25,NA,NA
5,26,NA,NA
5,27,NA,NA
5,28,NA,NA
5,29,NA,NA
5,30,NA,NA
5,31,NA,NA
5,32,NA,NA
5,33,NA,NA
5,34,NA,NA
5,35,NA,NA
5,36,NA,NA
5,37,NA,NA
5,38,NA,NA
5,39,NA,NA
5,40,NA,NA
5,41,NA,NA
5,42,NA,NA
5,43,NA,NA
5,44,NA,NA
5,45,NA,NA
5,46,NA,NA
5,47,NA,NA
5,48,NA,NA
5,49,NA,NA
5,50,NA,NA
5,51,NA,NA
5,52,NA,NA
5,53,NA,NA
5,54,NA,NA
5,55,NA,NA
5,56,NA,NA
5,57,NA,NA
5,58,NA,NA
5,59,NA,NA
5,60,NA,NA
5,61,NA,NA
5,62,NA,NA
5,63,NA,NA
5,64,NA,NA
5,65,NA,NA
5,66,NA,NA
5,67,NA,NA
5,68,NA,NA
5,69,NA,NA
5,70,NA,NA
5,71,NA,NA
5,72,NA,NA
5,73,NA,NA
5,74,NA,NA
5,75,NA,NA
5,76,NA,NA
5,77,NA,NA
5,78,NA,NA
5,79,NA,NA
5,80,NA,NA
5,81,NA,NA
5,82,NA,NA
5,83,NA,NA
5,84,NA,NA
5,85,NA,NA
5,86,NA,NA
5,87,NA,NA
5,88,NA,NA
5,89,NA,NA
5,90,NA,NA
5,91,NA,NA
5,92,NA,NA
5,93,NA,NA
5,94,NA,NA
5,95,NA,NA
5,96,NA,NA
5,97,NA,NA
5,98,NA,NA
5,99,NA,NA
5,100,NA,NA
6,1,1067,1067
6,2,920,920
6,3,966,966
6,4,1034,1034
6,5,190,190
6,6,191,191
6,7,187,187
6,8,193,193
6,9,202,202
6,10,212,212
6,11,209,209
6,12,208,208
6,13,216,216
6,14,223,223
6,15,230,230
6,16,234,234
6,17,242,242
6,18,245,245
6,19,246,246
6,20,239,239
6,21,243,243
6,22,247,247
6,23,258,258
6,24,270,270
6,25,281,281
6,26,295,295
6,27,322,322
6,28,354,354
6,29,378,378
6,30,414,414
6,31,452,452
6,32,482,482
6,33,502,502
6,34,502,502
6,35,513,513
6,36,547,547
6,37,591,591
6,38,628,628
6,39,665,665
6,40,698,698
6,41,733,733
6,42,792,792
6,43,887,887
6,44,966,966
6,45,1042,1042
6,46,936,936
6,47,1027,1027
6,48,905,905
6,49,981,981
6,50,1081,1081
6,51,1024,1024
6,52,890,890
6,53,971,971
6,54,1054,1054
6,55,994,994
6,56,1092,1092
6,57,942,942
6,58,1032,1032
6,59,723,723
6,60,806,806
6,61,881,881
6,62,961,961
6,63,1061,1061
6,64,987,987
6,65,1084,1084
6,66,625,625
6,67,676,676
6,68,769,769
6,69,846,846
6,70,921,921
6,71,1003,1003
6,72,954,954
6,73,1056,1056
6,74,908,908
6,75,1005,1005
6,76,957,957
6,77,1051,1051
6,78,943,943
6,79,1047,1047
6,80,974,974
6,81,1072,1072
6,82,931,931
6,83,1032,1032
6,84,992,992
6,85,1085,1085
6,86,968,968
6,87,1044,1044
6,88,953,953
6,89,1040,1040
6,90,1003,1003
6,91,1088,1088
6,92,1043,1043
6,93,957,957
6,94,1029,1029
6,95,850,850
6,96,933,933
6,97,1011,1011
6,98,932,932
6,99,1018,1018
6,100,953,953
7,1,1005,1005
7,2,867,867
7,3,916,916
7,4,975,975
7,5,1164,1164
7,6,1056,1056
7,7,574,574
7,8,649,649
7,9,732,732
7,10,789,789
7,11,870,870
7,12,955,955
7,13,1036,1036
7,14,1028,1028
7,15,789,789
7,16,871,871
7,17,953,953
7,18,1015,1015
7,19,926,926
7,20,1013,1013
7,21,979,979
7,22,1041,1041
7,23,299,299
7,24,329,329
7,25,335,335
7,26,347,347
7,27,364,364
7,28,369,369
7,29,369,369
7,30,368,368
7,31,377,377
7,32,391,391
7,33,394,394
7,34,398,398
7,35,409,409
7,36,433,433
7,37,473,473
7,38,522,522
7,39,586,586
7,40,638,638
7,41,683,683
7,42,761,761
7,43,836,836
7,44,884,884
7,45,930,930
7,46,993,993
7,47,1048,1048
7,48,983,983
7,49,1001,1001
7,50,770,770
7,51,829,829
7,52,872,872
7,53,924,924
7,54,970,970
7,55,1031,1031
7,56,985,985
7,57,1024,1024
7,58,850,850
7,59,886,886
7,60,945,945
7,61,991,991
7,62,1056,1056
7,63,278,278
7,64,295,295
7,65,320,320
7,66,355,355
7,67,412,412
7,68,456,456
7,69,495,495
7,70,529,529
7,71,571,571
7,72,641,641
7,73,698,698
7,74,749,749
7,75,792,792
7,76,850,850
7,77,892,892
7,78,938,938
7,79,989,989
7,80,1044,1044
7,81,961,961
7,82,1037,1037
7,83,977,977
7,84,1064,1064
7,85,1049,1049
7,86,875,875
7,87,937,937
7,88,1017,1017
7,89,264,264
7,90,302,302
7,91,335,335
7,92,373,373
7,93,400,400
7,94,430,430
7,95,456,456
7,96,500,500
7,97,555,555
7,98,603,603
7,99,648,648
7,100,686,686
8,1,956,956
8,2,953,953
8,3,941,941
8,4,982,982
8,5,1145,1145
8,6,1085,1085
8,7,347,347
8,8,364,364
8,9,374,374
8,10,383,383
8,11,397,397
8,12,411,411
8,13,454,454
8,14,503,503
8,15,535,535
8,16,586,586
8,17,641,641
8,18,679,679
8,19,688,688
8,20,655,655
8,21,659,659
8,22,641,641
8,23,629,629
8,24,627,627
8,25,624,624
8,26,624,624
8,27,618,618
8,28,610,610
8,29,611,611
8,30,599,599
8,31,603,603
8,32,595,595
8,33,599,599
8,34,593,593
8,35,592,592
8,36,590,590
8,37,585,585
8,38,580,580
8,39,579,579
8,40,577,577
8,41,567,567
8,42,570,570
8,43,562,562
8,44,565,565
8,45,549,549
8,46,554,554
8,47,547,547
8,48,548,548
8,49,538,538
8,50,537,537
8,51,532,532
8,52,531,531
8,53,519,519
8,54,520,520
8,55,513,513
8,56,514,514
8,57,504,504
8,58,502,502
8,59,496,496
8,60,498,498
8,61,485,485
8,62,486,486
8,63,481,481
8,64,478,478
8,65,471,471
8,66,471,471
8,67,469,469
8,68,466,466
8,69,456,456
8,70,457,457
8,71,450,450
8,72,450,450
8,73,434,434
8,74,431,431
8,75,431,431
8,76,427,427
8,77,413,413
8,78,410,410
8,79,413,413
8,80,411,411
8,81,393,393
8,82,384,384
8,83,394,394
8,84,397,397
8,85,398,398
8,86,384,384
8,87,381,381
8,88,377,377
8,89,377,377
8,90,383,383
8,91,370,370
8,92,368,368
8,93,364,364
8,94,356,356
8,95,358,358
8,96,353,353
8,97,349,349
8,98,346,346
8,99,339,339
8,100,343,343
9,1,977,977
9,2,955,955
9,3,935,935
9,4,969,969
9,5,1120,1120
9,6,943,943
9,7,985,985
9,8,1038,1038
9,9,984,984
9,10,1055,1055
9,11,198,198
9,12,209,209
9,13,224,224
9,14,249,249
9,15,279,279
9,16,302,302
9,17,326,326
9,18,345,345
9,19,368,368
9,20,393,393
9,21,423,423
9,22,449,449
9,23,475,475
9,24,530,530
9,25,569,569
9,26,594,594
9,27,635,635
9,28,687,687
9,29,733,733
9,30,760,760
9,31,790,790
9,32,843,843
9,33,890,890
9,34,942,942
9,35,994,994
9,36,1074,1074
9,37,1053,1053
9,38,648,648
9,39,695,695
9,40,733,733
9,41,761,761
9,42,811,811
9,43,858,858
9,44,916,916
9,45,969,969
9,46,1046,1046
9,47,1030,1030
9,48,964,964
9,49,1053,1053
9,50,980,980
9,51,1068,1068
9,52,1029,1029
9,53,936,936
9,54,1013,1013
9,55,946,946
9,56,1032,1032
9,57,983,983
9,58,1068,1068
9,59,927,927
9,60,1019,1019
9,61,939,939
9,62,1031,1031
9,63,956,956
9,64,1042,1042
9,65,854,854
9,66,917,917
9,67,986,986
9,68,1068,1068
9,69,483,483
9,70,516,516
9,71,536,536
9,72,562,562
9,73,596,596
9,74,618,618
9,75,644,644
9,76,677,677
9,77,721,721
9,78,775,775
9,79,818,818
9,80,880,880
9,81,963,963
9,82,1028,1028
9,83,982,982
9,84,1041,1041
9,85,960,960
9,86,1030,1030
9,87,936,936
9,88,1002,1002
9,89,933,933
9,90,997,997
9,91,1062,1062
9,92,966,966
9,93,1048,1048
9,94,959,959
9,95,1033,1033
9,96,913,913
9,97,972,972
9,98,1032,1032
9,99,700,700
9,100,732,732
10,1,983,983
10,2,1012,1012
10,3,1016,1016
10,4,540,540
10,5,638,638
10,6,675,675
10,7,726,726
10,8,787,787
10,9,848,848
10,10,887,887
10,11,955,955
10,12,1040,1040
10,13,1016,1016
10,14,946,946
10,15,1015,1015
10,16,1011,1011
10,17,975,975
10,18,1052,1052
10,19,815,815
10,20,851,851
10,21,909,909
10,22,963,963
10,23,1039,1039
10,24,752,752
10,25,773,773
10,26,794,794
10,27,807,807
10,28,873,873
10,29,935,935
10,30,1009,1009
10,31,304,304
10,32,310,310
10,33,308,308
10,34,306,306
10,35,304,304
10,36,304,304
10,37,308,308
10,38,315,315
10,39,329,329
10,40,346,346
10,41,358,358
10,42,364,364
10,43,370,370
10,44,398,398
10,45,445,445
10,46,505,505
10,47,557,557
10,48,616,616
10,49,651,651
10,50,676,676
10,51,697,697
10,52,722,722
10,53,772,772
10,54,821,821
10,55,883,883
10,56,945,945
10,57,1023,1023
10,58,947,947
10,59,1006,1006
10,60,896,896
10,61,969,969
10,62,1056,1056
10,63,1007,1007
10,64,1090,1090
10,65,664,664
10,66,704,704
10,67,752,752
10,68,835,835
10,69,899,899
10,70,960,960
10,71,1037,1037
10,72,1041,1041
10,73,875,875
10,74,934,934
10,75,1020,1020
10,76,779,779
10,77,831,831
10,78,885,885
10,79,961,961
10,80,1028,1028
10,81,940,940
10,82,1033,1033
10,83,935,935
10,84,1030,1030
10,85,914,914
10,86,986,986
10,87,1079,1079
10,88,1052,1052
10,89,949,949
10,90,1032,1032
10,91,1004,1004
10,92,1099,1099
10,93,1032,1032
10,94,956,956
10,95,1041,1041
10,96,944,944
10,97,1025,1025
10,98,1051,1051
10,99,973,973
10,100,1062,1062
11,1,973,973
11,2,974,974
11,3,989,989
11,4,1059,1059
11,5,843,843
11,6,903,903
11,7,983,983
11,8,1070,1070
11,9,1061,1061
11,10,513,513
11,11,553,553
11,12,567,567
11,13,577,577
11,14,592,592
11,15,609,609
11,16,618,618
11,17,613,613
11,18,632,632
11,19,652,652
11,20,664,664
11,21,679,679
11,22,722,722
11,23,777,777
11,24,843,843
11,25,902,902
11,26,986,986
11,27,1057,1057
11,28,1015,1015
11,29,883,883
11,30,943,943
11,31,1010,1010
11,32,932,932
11,33,1000,1000
11,34,1044,1044
11,35,781,781
11,36,832,832
11,37,887,887
11,38,958,958
11,39,1007,1007
11,40,934,934
11,41,995,995
11,42,1021,1021
11,43,776,776
11,44,830,830
11,45,911,911
11,46,962,962
11,47,1011,1011
11,48,873,873
11,49,941,941
11,50,969,969
11,51,1005,1005
11,52,774,774
11,53,822,822
11,54,891,891
11,55,942,942
11,56,974,974
11,57,1031,1031
11,58,914,914
11,59,946,946
11,60,997,997
11,61,1043,1043
11,62,1027,1027
11,63,944,944
11,64,985,985
11,65,1038,1038
11,66,943,943
11,67,983,983
11,68,1034,1034
11,69,758,758
11,70,826,826
11,71,866,866
11,72,887,887
11,73,938,938
11,74,992,992
11,75,1031,1031
11,76,920,920
11,77,982,982
11,78,1028,1028
11,79,985,985
11,80,1031,1031
11,81,1002,1002
11,82,1076,1076
11,83,946,946
11,84,996,996
11,85,1064,1064
11,86,967,967
11,87,1015,1015
11,88,944,944
11,89,1009,1009
11,90,877,877
11,91,925,925
11,92,981,981
11,93,1048,1048
11,94,989,989
11,95,1044,1044
11,96,972,972
11,97,1031,1031
11,98,883,883
11,99,945,945
11,100,1003,1003
12,1,668,668
12,2,675,675
12,3,686,686
12,4,713,713
12,5,838,838
12,6,878,878
12,7,910,910
12,8,973,973
12,9,1079,1079
12,10,1080,1080
12,11,356,356
12,12,404,404
12,13,425,425
12,14,448,448
12,15,487,487
12,16,537,537
12,17,586,586
12,18,631,631
12,19,662,662
12,20,710,710
12,21,781,781
12,22,828,828
12,23,880,880
12,24,960,960
12,25,1071,1071
12,26,874,874
12,27,962,962
12,28,1081,1081
12,29,369,369
12,30,398,398
12,31,440,440
12,32,503,503
12,33,569,569
12,34,596,596
12,35,641,641
12,36,707,707
12,37,760,760
12,38,807,807
12,39,884,884
12,40,972,972
12,41,1073,1073
12,42,1029,1029
12,43,930,930
12,44,1021,1021
12,45,752,752
12,46,803,803
12,47,909,909
12,48,984,984
12,49,1072,1072
12,50,520,520
12,51,559,559
12,52,594,594
12,53,643,643
12,54,675,675
12,55,712,712
12,56,757,757
12,57,846,846
12,58,939,939
12,59,1030,1030
12,60,880,880
12,61,985,985
12,62,1097,1097
12,63,1028,1028
12,64,975,975
12,65,1074,1074
12,66,1049,1049
12,67,870,870
12,68,946,946
12,69,1038,1038
12,70,962,962
12,71,1049,1049
12,72,923,923
12,73,1017,1017
12,74,882,882
12,75,962,962
12,76,1054,1054
12,77,991,991
12,78,1093,1093
12,79,1018,1018
12,80,1000,1000
12,81,1075,1075
12,82,1012,1012
12,83,1110,1110
12,84,1014,1014
12,85,1065,1065
12,86,930,930
12,87,1041,1041
12,88,953,953
12,89,1048,1048
12,90,1036,1036
12,91,997,997
12,92,1089,1089
12,93,1021,1021
12,94,1009,1009
12,95,1092,1092
12,96,690,690
12,97,767,767
12,98,829,829
12,99,908,908
12,100,992,992
13,1,1010,1010
13,2,848,848
13,3,844,844
13,4,859,859
13,5,987,987
13,6,1046,1046
13,7,972,972
13,8,1041,1041
13,9,136,136
13,10,155,155
13,11,171,171
13,12,183,183
13,13,195,195
13,14,192,192
13,15,196,196
13,16,202,202
13,17,212,212
13,18,210,210
13,19,211,211
13,20,214,214
13,21,204,204
13,22,207,207
13,23,208,208
13,24,211,211
13,25,216,216
13,26,227,227
13,27,236,236
13,28,251,251
13,29,267,267
13,30,285,285
13,31,314,314
13,32,344,344
13,33,360,360
13,34,380,380
13,35,398,398
13,36,416,416
13,37,426,426
13,38,430,430
13,39,433,433
13,40,430,430
13,41,422,422
13,42,419,419
13,43,415,415
13,44,413,413
13,45,414,414
13,46,418,418
13,47,415,415
13,48,414,414
13,49,414,414
13,50,420,420
13,51,424,424
13,52,426,426
13,53,428,428
13,54,435,435
13,55,455,455
13,56,491,491
13,57,535,535
13,58,574,574
13,59,603,603
13,60,622,622
13,61,635,635
13,62,649,649
13,63,680,680
13,64,702,702
13,65,775,775
13,66,820,820
13,67,863,863
13,68,896,896
13,69,969,969
13,70,1047,1047
13,71,880,880
13,72,935,935
13,73,1024,1024
13,74,906,906
13,75,1006,1006
13,76,895,895
13,77,981,981
13,78,1066,1066
13,79,974,974
13,80,1056,1056
13,81,505,505
13,82,518,518
13,83,521,521
13,84,516,516
13,85,497,497
13,86,501,501
13,87,480,480
13,88,478,478
13,89,475,475
13,90,481,481
13,91,464,464
13,92,461,461
13,93,463,463
13,94,459,459
13,95,451,451
13,96,443,443
13,97,445,445
13,98,444,444
13,99,429,429
13,100,419,419
14,1,979,979
14,2,960,960
14,3,922,922
14,4,943,943
14,5,1092,1092
14,6,978,978
14,7,1029,1029
14,8,257,257
14,9,272,272
14,10,292,292
14,11,308,308
14,12,318,318
14,13,324,324
14,14,323,323
14,15,334,334
14,16,333,333
14,17,328,328
14,18,329,329
14,19,331,331
14,20,336,336
14,21,338,338
14,22,342,342
14,23,340,340
14,24,339,339
14,25,346,346
14,26,355,355
14,27,373,373
14,28,392,392
14,29,424,424
14,30,469,469
14,31,525,525
14,32,578,578
14,33,614,614
14,34,643,643
14,35,680,680
14,36,718,718
14,37,727,727
14,38,739,739
14,39,765,765
14,40,824,824
14,41,877,877
14,42,911,911
14,43,954,954
14,44,997,997
14,45,1057,1057
14,46,970,970
14,47,1012,1012
14,48,920,920
14,49,964,964
14,50,1030,1030
14,51,790,790
14,52,813,813
14,53,851,851
14,54,895,895
14,55,941,941
14,56,994,994
14,57,1042,1042
14,58,977,977
14,59,1024,1024
14,60,953,953
14,61,1001,1001
14,62,812,812
14,63,857,857
14,64,894,894
14,65,940,940
14,66,1003,1003
14,67,889,889
14,68,926,926
14,69,957,957
14,70,1014,1014
14,71,881,881
14,72,917,917
14,73,966,966
14,74,1031,1031
14,75,816,816
14,76,849,849
14,77,904,904
14,78,960,960
14,79,1023,1023
14,80,889,889
14,81,941,941
14,82,1006,1006
14,83,902,902
14,84,963,963
14,85,1035,1035
14,86,870,870
14,87,924,924
14,88,984,984
14,89,1049,1049
14,90,977,977
14,91,1048,1048
14,92,964,964
14,93,1032,1032
14,94,968,968
14,95,1042,1042
14,96,930,930
14,97,985,985
14,98,1056,1056
14,99,854,854
14,100,923,923
15,1,636,636
15,2,632,632
15,3,644,644
15,4,681,681
15,5,806,806
15,6,859,859
15,7,918,918
15,8,1011,1011
15,9,1031,1031
15,10,773,773
15,11,849,849
15,12,945,945
15,13,1029,1029
15,14,1046,1046
15,15,604,604
15,16,650,650
15,17,698,698
15,18,741,741
15,19,811,811
15,20,892,892
15,21,972,972
15,22,1068,1068
15,23,1041,1041
15,24,702,702
15,25,754,754
15,26,822,822
15,27,910,910
15,28,1004,1004
15,29,941,941
15,30,1033,1033
15,31,939,939
15,32,1037,1037
15,33,393,393
15,34,408,408
15,35,433,433
15,36,470,470
15,37,498,498
15,38,503,503
15,39,522,522
15,40,571,571
15,41,617,617
15,42,666,666
15,43,725,725
15,44,790,790
15,45,863,863
15,46,958,958
15,47,1033,1033
15,48,953,953
15,49,1020,1020
15,50,919,919
15,51,993,993
15,52,1055,1055
15,53,1023,1023
15,54,900,900
15,55,963,963
15,56,1032,1032
15,57,261,261
15,58,274,274
15,59,276,276
15,60,274,274
15,61,277,277
15,62,282,282
15,63,278,278
15,64,284,284
15,65,289,289
15,66,309,309
15,67,325,325
15,68,345,345
15,69,361,361
15,70,379,379
15,71,402,402
15,72,427,427
15,73,461,461
15,74,500,500
15,75,542,542
15,76,590,590
15,77,646,646
15,78,715,715
15,79,786,786
15,80,867,867
15,81,930,930
15,82,978,978
15,83,1042,1042
15,84,950,950
15,85,995,995
15,86,1051,1051
15,87,976,976
15,88,1030,1030
15,89,878,878
15,90,929,929
15,91,985,985
