"idx","sims","years","land_type","yield_value","ytb_type","man_bud_type","trend_Min.","trend_Median","trend_Mean","trend_Max.","EXT","EXT_first","get_res","land_dim_1","land_dim_2","land_ownership","tend_crops","tend_crop_yld","scaring","minimum_cost","remove_pr","res_death_type","lambda","res_death_K","RESOURCE_ini","manage_target","manager_budget","user_budget","public_land","stakeholders","res_consume","observe_type","res_move_obs","agent_view","times_observe","agent_move","converge_crit","ga_mingen","land_type_max_frac"
"20191205090620_nullModel-YTB9",100,100,"equal",0.2,"beta1","max",0.702161316600228,0.992176561904603,0.988629520848573,1.06001426715513,1,1,"Full",200,200,TRUE,TRUE,0.5,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0,8,0.2,0,TRUE,100,10,100,0.1,40,NA
"20191205090628_nullModel-YTB9",100,100,"equal",0.2,"beta1","mean",0.859953242969242,1.0091083480838,1.00595888320827,1.06180765195686,0,Inf,"Full",200,200,TRUE,TRUE,0.5,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0,8,0.2,0,TRUE,100,10,100,0.1,40,NA
"20191205090636_nullModel-YTB9",100,100,"equal",0.2,"beta1","max",0.882871535734862,1.02603480659944,1.02519000951782,1.10190553707529,0,Inf,"Full",200,200,TRUE,TRUE,0.5,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0.25,8,0.2,0,TRUE,100,10,100,0.1,40,NA
"20191205090659_nullModel-YTB9",100,100,"equal",0.2,"beta1","mean",0.983289194322661,1.02492778967987,1.02520528253996,1.08018502319557,0,Inf,"Full",200,200,TRUE,TRUE,0.5,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0.25,8,0.2,0,TRUE,100,10,100,0.1,40,NA
"20191205090704_nullModel-YTB9",100,100,"equal",0.2,"beta1","fixed",0.946248142034678,1.1166593802439,1.34138887558559,2.36441884465598,0,Inf,"Full",200,200,TRUE,TRUE,0.5,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0.5,8,0.2,0,TRUE,100,10,100,0.1,40,NA
"20191205090711_nullModel-YTB9",100,100,"equal",0.2,"beta1","max",0.959816226437563,1.07397706539008,1.35551532298528,2.49579893105127,0,Inf,"Full",200,200,TRUE,TRUE,0.5,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0.5,8,0.2,0,TRUE,100,10,100,0.1,40,NA
"20191205090718_nullModel-YTB9",100,100,"equal",0.2,"beta1","mean",0.827269080915099,1.11659561842738,1.36186409282339,2.34739518005662,1,1,"Full",200,200,TRUE,TRUE,0.5,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0.5,8,0.2,0,TRUE,100,10,100,0.1,40,NA
"20191205104932_nullModel-YTB9",100,100,"equal",0.4,"beta1","max",0.0403493703961992,0.946670411576586,0.873812529169747,1.39976675981064,6,41,"Full",200,200,TRUE,TRUE,0.5,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0,8,0.2,0,TRUE,100,10,100,0.1,40,NA
"20191205105004_nullModel-YTB9",100,100,"equal",0.4,"beta1","mean",0.199819260578153,0.90946568887007,0.840693823819301,1.22379686939849,9,65,"Full",200,200,TRUE,TRUE,0.5,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0,8,0.2,0,TRUE,100,10,100,0.1,40,NA
"20191205105054_nullModel-YTB9",100,100,"equal",0.4,"beta1","max",0.645756467470528,1.036669186731,1.03482000877713,1.55172398504492,0,Inf,"Full",200,200,TRUE,TRUE,0.5,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0.25,8,0.2,0,TRUE,100,10,100,0.1,40,NA
"20191205105101_nullModel-YTB9",100,100,"equal",0.4,"beta1","mean",0.990240672584945,1.04184558215098,1.04432358825239,1.12190207482656,0,Inf,"Full",200,200,TRUE,TRUE,0.5,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0.25,8,0.2,0,TRUE,100,10,100,0.1,40,NA
"20191205105428_nullModel-YTB9",100,100,"equal",0.4,"beta1","fixed",0.882338253907792,1.08511273570808,1.17151450119313,1.99828869191701,0,Inf,"Full",200,200,TRUE,TRUE,0.5,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0.5,8,0.2,0,TRUE,100,10,100,0.1,40,NA
