"SIM","YEAR","N","N_OBS"
1,1,934,934
1,2,950,950
1,3,945,945
1,4,967,967
1,5,1119,1119
1,6,1060,1060
1,7,1077,1077
1,8,1080,1080
1,9,1121,1121
1,10,1197,1197
1,11,1283,1283
1,12,1325,1325
1,13,1361,1361
1,14,1383,1383
1,15,1402,1402
1,16,1397,1397
1,17,1411,1411
1,18,1450,1450
1,19,1447,1447
1,20,1477,1477
1,21,1489,1489
1,22,1484,1484
1,23,1492,1492
1,24,1484,1484
1,25,1460,1460
1,26,1469,1469
1,27,1507,1507
1,28,1488,1488
1,29,1456,1456
1,30,1467,1467
1,31,1463,1463
1,32,1457,1457
1,33,1433,1433
1,34,1425,1425
1,35,1432,1432
1,36,1448,1448
1,37,1439,1439
1,38,1410,1410
1,39,1401,1401
1,40,1417,1417
1,41,1407,1407
1,42,1443,1443
1,43,1471,1471
1,44,1411,1411
1,45,1397,1397
1,46,1413,1413
1,47,1407,1407
1,48,1407,1407
1,49,1409,1409
1,50,1406,1406
1,51,1406,1406
1,52,1397,1397
1,53,1382,1382
1,54,1389,1389
1,55,1383,1383
1,56,1371,1371
1,57,1378,1378
1,58,1381,1381
1,59,1362,1362
1,60,1370,1370
1,61,1370,1370
1,62,1368,1368
1,63,1348,1348
1,64,1333,1333
1,65,1338,1338
1,66,1339,1339
1,67,1336,1336
1,68,1357,1357
1,69,1345,1345
1,70,1309,1309
1,71,1314,1314
1,72,1320,1320
1,73,1327,1327
1,74,1325,1325
1,75,1324,1324
1,76,1314,1314
1,77,1300,1300
1,78,1292,1292
1,79,1300,1300
1,80,1304,1304
1,81,1306,1306
1,82,1305,1305
1,83,1268,1268
1,84,1265,1265
1,85,1262,1262
1,86,1268,1268
1,87,1279,1279
1,88,1273,1273
1,89,1260,1260
1,90,1256,1256
1,91,1235,1235
1,92,1248,1248
1,93,1264,1264
1,94,1271,1271
1,95,1255,1255
1,96,1245,1245
1,97,1233,1233
1,98,1240,1240
1,99,1232,1232
1,100,1221,1221
2,1,1066,1066
2,2,953,953
2,3,1037,1037
2,4,862,862
2,5,1053,1053
2,6,1066,1066
2,7,1113,1113
2,8,1152,1152
2,9,1187,1187
2,10,1208,1208
2,11,1206,1206
2,12,1192,1192
2,13,1163,1163
2,14,1167,1167
2,15,1177,1177
2,16,1178,1178
2,17,1169,1169
2,18,1178,1178
2,19,1166,1166
2,20,1170,1170
2,21,1173,1173
2,22,1153,1153
2,23,1145,1145
2,24,1135,1135
2,25,1114,1114
2,26,1109,1109
2,27,1119,1119
2,28,1111,1111
2,29,1117,1117
2,30,1121,1121
2,31,1109,1109
2,32,1123,1123
2,33,1106,1106
2,34,1122,1122
2,35,1098,1098
2,36,1106,1106
2,37,1103,1103
2,38,1103,1103
2,39,1072,1072
2,40,1094,1094
2,41,1073,1073
2,42,1084,1084
2,43,1083,1083
2,44,1100,1100
2,45,1080,1080
2,46,1084,1084
2,47,1081,1081
2,48,1068,1068
2,49,1065,1065
2,50,1107,1107
2,51,1069,1069
2,52,1055,1055
2,53,1085,1085
2,54,1054,1054
2,55,1085,1085
2,56,1023,1023
2,57,1060,1060
2,58,1022,1022
