"SIM","YEAR","N","N_OBS"
1,1,978,978
1,2,979,979
1,3,1002,1002
1,4,1005,1005
1,5,1179,1179
1,6,1217,1217
1,7,797,797
1,8,862,862
1,9,921,921
1,10,1007,1007
1,11,742,742
1,12,792,792
1,13,858,858
1,14,934,934
1,15,996,996
1,16,1062,1062
1,17,689,689
1,18,743,743
1,19,800,800
1,20,864,864
1,21,925,925
1,22,983,983
1,23,1055,1055
1,24,1082,1082
1,25,722,722
1,26,780,780
1,27,843,843
1,28,905,905
1,29,963,963
1,30,1033,1033
1,31,1080,1080
1,32,863,863
1,33,935,935
1,34,1009,1009
1,35,682,682
1,36,740,740
1,37,790,790
1,38,852,852
1,39,914,914
1,40,986,986
1,41,1065,1065
1,42,951,951
1,43,1030,1030
1,44,1056,1056
1,45,950,950
1,46,1029,1029
1,47,1043,1043
1,48,847,847
1,49,905,905
1,50,978,978
1,51,1041,1041
1,52,976,976
1,53,1034,1034
1,54,633,633
1,55,705,705
1,56,779,779
1,57,837,837
1,58,896,896
1,59,979,979
1,60,1053,1053
1,61,682,682
1,62,730,730
1,63,777,777
1,64,830,830
1,65,895,895
1,66,969,969
1,67,1041,1041
1,68,676,676
1,69,739,739
1,70,796,796
1,71,863,863
1,72,945,945
1,73,1017,1017
1,74,1040,1040
1,75,917,917
1,76,977,977
1,77,1056,1056
1,78,647,647
1,79,669,669
1,80,712,712
1,81,773,773
1,82,837,837
1,83,884,884
1,84,939,939
1,85,996,996
1,86,1065,1065
1,87,1119,1119
1,88,1045,1045
1,89,936,936
1,90,995,995
1,91,1058,1058
1,92,324,324
1,93,353,353
1,94,383,383
1,95,414,414
1,96,435,435
1,97,463,463
1,98,506,506
1,99,555,555
1,100,589,589
2,1,969,969
2,2,974,974
2,3,970,970
2,4,1014,1014
2,5,1086,1086
2,6,944,944
2,7,985,985
2,8,1035,1035
2,9,999,999
2,10,1047,1047
2,11,1006,1006
2,12,996,996
2,13,1020,1020
2,14,617,617
2,15,639,639
2,16,659,659
2,17,671,671
2,18,680,680
2,19,695,695
2,20,718,718
2,21,732,732
2,22,767,767
2,23,824,824
2,24,876,876
2,25,936,936
2,26,975,975
2,27,1032,1032
2,28,1032,1032
2,29,899,899
2,30,932,932
2,31,968,968
2,32,1007,1007
2,33,652,652
2,34,662,662
2,35,667,667
2,36,684,684
2,37,723,723
2,38,783,783
2,39,825,825
2,40,880,880
2,41,928,928
2,42,971,971
2,43,1014,1014
2,44,1004,1004
2,45,1048,1048
2,46,1093,1093
2,47,951,951
2,48,986,986
2,49,1046,1046
2,50,1104,1104
2,51,857,857
2,52,887,887
2,53,918,918
2,54,973,973
2,55,1015,1015
2,56,1030,1030
2,57,797,797
2,58,844,844
2,59,886,886
2,60,932,932
2,61,972,972
2,62,1020,1020
2,63,429,429
2,64,461,461
2,65,483,483
2,66,506,506
2,67,511,511
2,68,509,509
2,69,517,517
2,70,525,525
2,71,546,546
2,72,568,568
2,73,608,608
2,74,662,662
2,75,702,702
2,76,743,743
2,77,780,780
2,78,820,820
2,79,850,850
2,80,876,876
2,81,922,922
2,82,986,986
2,83,1083,1083
2,84,1127,1127
2,85,802,802
2,86,856,856
2,87,922,922
2,88,1010,1010
2,89,737,737
2,90,781,781
2,91,819,819
2,92,879,879
2,93,940,940
2,94,1017,1017
2,95,1064,1064
2,96,1034,1034
2,97,1010,1010
2,98,969,969
2,99,1081,1081
2,100,1116,1116
3,1,950,950
3,2,937,937
3,3,915,915
3,4,938,938
3,5,1085,1085
3,6,612,612
3,7,669,669
3,8,716,716
3,9,779,779
3,10,824,824
3,11,895,895
