"SIM","YEAR","N","N_OBS"
1,1,934,934
1,2,939,939
1,3,928,928
1,4,922,922
1,5,1055,1055
1,6,823,823
1,7,858,858
1,8,878,878
1,9,898,898
1,10,917,917
1,11,971,971
1,12,1013,1013
1,13,949,949
1,14,984,984
1,15,1019,1019
1,16,951,951
1,17,997,997
1,18,1029,1029
1,19,984,984
1,20,1008,1008
1,21,1026,1026
1,22,996,996
1,23,1043,1043
1,24,1079,1079
1,25,1039,1039
1,26,1040,1040
1,27,1044,1044
1,28,1062,1062
1,29,1088,1088
1,30,1081,1081
1,31,1082,1082
1,32,1076,1076
1,33,1054,1054
1,34,1066,1066
1,35,1048,1048
1,36,1065,1065
1,37,1051,1051
1,38,1059,1059
1,39,1056,1056
1,40,1049,1049
1,41,1050,1050
1,42,1042,1042
1,43,1034,1034
1,44,1027,1027
1,45,1035,1035
1,46,1019,1019
1,47,1075,1075
1,48,1063,1063
1,49,1033,1033
1,50,1042,1042
1,51,1066,1066
1,52,1107,1107
1,53,1111,1111
1,54,1101,1101
1,55,1122,1122
1,56,1143,1143
1,57,1146,1146
1,58,1166,1166
1,59,1181,1181
1,60,1217,1217
1,61,1219,1219
1,62,1236,1236
1,63,1199,1199
1,64,1204,1204
1,65,1201,1201
1,66,1237,1237
1,67,1257,1257
1,68,1272,1272
1,69,1267,1267
1,70,1231,1231
1,71,1219,1219
1,72,1226,1226
1,73,1203,1203
1,74,1196,1196
1,75,1185,1185
1,76,1166,1166
1,77,1180,1180
1,78,1162,1162
1,79,1196,1196
1,80,1179,1179
1,81,1168,1168
1,82,1127,1127
1,83,1139,1139
1,84,1149,1149
1,85,1140,1140
1,86,1160,1160
1,87,1145,1145
1,88,1132,1132
1,89,1135,1135
1,90,1119,1119
1,91,1111,1111
1,92,1105,1105
1,93,1117,1117
1,94,1113,1113
1,95,1103,1103
1,96,1109,1109
1,97,1106,1106
1,98,1090,1090
1,99,1100,1100
1,100,1084,1084
2,1,911,911
2,2,886,886
2,3,886,886
2,4,896,896
2,5,1035,1035
2,6,807,807
2,7,831,831
2,8,864,864
2,9,892,892
2,10,942,942
2,11,1000,1000
2,12,1025,1025
2,13,878,878
2,14,909,909
2,15,950,950
2,16,986,986
2,17,1032,1032
2,18,951,951
2,19,971,971
2,20,995,995
2,21,1053,1053
2,22,964,964
2,23,995,995
2,24,1045,1045
2,25,1012,1012
2,26,1061,1061
2,27,1012,1012
2,28,1065,1065
2,29,1010,1010
2,30,1056,1056
2,31,1024,1024
2,32,964,964
2,33,1022,1022
2,34,1001,1001
2,35,1038,1038
2,36,1068,1068
2,37,1042,1042
2,38,1018,1018
2,39,1053,1053
2,40,1029,1029
2,41,1009,1009
2,42,1058,1058
2,43,1043,1043
2,44,1039,1039
2,45,1075,1075
2,46,1117,1117
2,47,1123,1123
2,48,1167,1167
2,49,1175,1175
2,50,1211,1211
2,51,1205,1205
2,52,1181,1181
2,53,1196,1196
2,54,1207,1207
2,55,1195,1195
2,56,1202,1202
2,57,1217,1217
2,58,1183,1183
2,59,1197,1197
2,60,1211,1211
2,61,1212,1212
2,62,1240,1240
2,63,1244,1244
2,64,1260,1260
2,65,1262,1262
2,66,1276,1276
2,67,1276,1276
2,68,1305,1305
2,69,1363,1363
2,70,1429,1429
2,71,1467,1467
2,72,1507,1507
2,73,1570,1570
2,74,1592,1592
2,75,1558,1558
2,76,1574,1574
2,77,1577,1577
2,78,1576,1576
2,79,1583,1583
2,80,1594,1594
2,81,1625,1625
2,82,1600,1600
2,83,1608,1608
