"SIM","YEAR","N","N_OBS"
1,1,971,971
1,2,975,975
1,3,957,957
1,4,979,979
1,5,1137,1137
1,6,505,505
1,7,509,509
1,8,521,521
1,9,533,533
1,10,530,530
1,11,542,542
1,12,545,545
1,13,570,570
1,14,593,593
1,15,619,619
1,16,643,643
1,17,682,682
1,18,727,727
1,19,783,783
1,20,839,839
1,21,889,889
1,22,927,927
1,23,993,993
1,24,1071,1071
1,25,658,658
1,26,712,712
1,27,767,767
1,28,823,823
1,29,888,888
1,30,933,933
1,31,989,989
1,32,1063,1063
1,33,689,689
1,34,747,747
1,35,799,799
1,36,852,852
1,37,906,906
1,38,969,969
1,39,1039,1039
1,40,732,732
1,41,784,784
1,42,829,829
1,43,887,887
1,44,942,942
1,45,1006,1006
1,46,571,571
1,47,600,600
1,48,657,657
1,49,709,709
1,50,759,759
1,51,780,780
1,52,819,819
1,53,881,881
1,54,952,952
1,55,1014,1014
1,56,669,669
1,57,712,712
1,58,762,762
1,59,815,815
1,60,861,861
1,61,934,934
1,62,988,988
1,63,1060,1060
1,64,755,755
1,65,810,810
1,66,873,873
1,67,930,930
1,68,999,999
1,69,1074,1074
1,70,842,842
1,71,912,912
1,72,989,989
1,73,1057,1057
1,74,812,812
1,75,892,892
1,76,953,953
1,77,1025,1025
1,78,790,790
1,79,861,861
1,80,932,932
1,81,995,995
1,82,1056,1056
1,83,919,919
1,84,997,997
1,85,1051,1051
1,86,886,886
1,87,950,950
1,88,999,999
1,89,1071,1071
1,90,826,826
1,91,878,878
1,92,927,927
1,93,973,973
1,94,1036,1036
1,95,924,924
1,96,969,969
1,97,1019,1019
1,98,865,865
1,99,929,929
1,100,980,980
2,1,1021,1021
2,2,397,397
2,3,391,391
2,4,391,391
2,5,450,450
2,6,446,446
2,7,447,447
2,8,440,440
2,9,450,450
2,10,466,466
2,11,493,493
2,12,525,525
2,13,573,573
2,14,647,647
2,15,712,712
2,16,773,773
2,17,842,842
2,18,888,888
2,19,949,949
2,20,1002,1002
2,21,410,410
2,22,425,425
2,23,453,453
2,24,498,498
2,25,542,542
2,26,611,611
2,27,676,676
2,28,735,735
2,29,799,799
2,30,845,845
2,31,905,905
2,32,955,955
2,33,1009,1009
2,34,568,568
2,35,607,607
2,36,648,648
2,37,683,683
2,38,732,732
2,39,778,778
2,40,836,836
2,41,889,889
2,42,945,945
2,43,1005,1005
2,44,546,546
2,45,593,593
2,46,619,619
2,47,665,665
2,48,716,716
2,49,770,770
2,50,830,830
2,51,884,884
2,52,927,927
2,53,986,986
2,54,1043,1043
2,55,679,679
2,56,719,719
2,57,767,767
2,58,811,811
2,59,869,869
2,60,906,906
2,61,968,968
2,62,1005,1005
2,63,708,708
2,64,767,767
2,65,826,826
2,66,853,853
2,67,903,903
2,68,947,947
2,69,1009,1009
2,70,654,654
2,71,720,720
2,72,756,756
2,73,808,808
2,74,838,838
2,75,892,892
2,76,933,933
2,77,984,984
2,78,1050,1050
2,79,789,789
2,80,817,817
2,81,859,859
2,82,897,897
2,83,940,940
2,84,1012,1012
2,85,895,895
2,86,934,934
2,87,995,995
2,88,1039,1039
2,89,812,812
2,90,862,862
2,91,893,893
2,92,944,944
2,93,1014,1014
2,94,863,863
2,95,909,909
2,96,969,969
2,97,1012,1012
2,98,786,786
2,99,830,830
2,100,868,868
3,1,1011,1011
3,2,380,380
3,3,391,391
3,4,413,413
3,5,492,492
3,6,533,533
3,7,577,577
3,8,618,618
3,9,655,655
3,10,676,676
3,11,706,706
3,12,729,729
3,13,767,767
3,14,841,841
3,15,925,925
3,16,1006,1006
3,17,526,526
3,18,558,558
3,19,594,594
3,20,621,621
3,21,641,641
3,22,655,655
3,23,669,669
3,24,687,687
3,25,747,747
3,26,817,817
3,27,894,894
3,28,952,952
3,29,1037,1037
3,30,639,639
3,31,677,677
3,32,732,732
3,33,804,804
3,34,874,874
3,35,932,932
3,36,1009,1009
3,37,548,548
3,38,572,572
3,39,598,598
3,40,630,630
3,41,680,680
3,42,738,738
3,43,800,800
3,44,871,871
3,45,952,952
3,46,1071,1071
3,47,665,665
3,48,729,729
3,49,800,800
3,50,871,871
3,51,944,944
3,52,1064,1064
3,53,751,751
3,54,796,796
3,55,862,862
3,56,954,954
3,57,1048,1048
3,58,734,734
3,59,788,788
3,60,846,846
3,61,935,935
3,62,1029,1029
3,63,791,791
3,64,847,847
3,65,948,948
3,66,1062,1062
3,67,706,706
3,68,750,750
3,69,808,808
3,70,890,890
3,71,984,984
3,72,1069,1069
3,73,760,760
3,74,814,814
3,75,900,900
3,76,996,996
3,77,1060,1060
3,78,819,819
3,79,930,930
3,80,1007,1007
3,81,785,785
3,82,876,876
3,83,973,973
3,84,1046,1046
3,85,936,936
3,86,1007,1007
3,87,860,860
3,88,954,954
3,89,1008,1008
3,90,836,836
3,91,917,917
3,92,979,979
3,93,1058,1058
3,94,981,981
3,95,1061,1061
3,96,867,867
3,97,933,933
3,98,988,988
3,99,1068,1068
3,100,924,924
4,1,948,948
4,2,934,934
4,3,923,923
4,4,929,929
4,5,1078,1078
4,6,1073,1073
4,7,481,481
4,8,520,520
4,9,551,551
4,10,590,590
4,11,624,624
4,12,660,660
4,13,680,680
4,14,703,703
4,15,720,720
4,16,768,768
4,17,830,830
4,18,889,889
4,19,931,931
4,20,979,979
4,21,1015,1015
4,22,568,568
4,23,592,592
4,24,613,613
4,25,634,634
4,26,683,683
4,27,729,729
4,28,764,764
4,29,816,816
4,30,870,870
4,31,925,925
4,32,965,965
4,33,1004,1004
4,34,633,633
4,35,665,665
4,36,715,715
4,37,760,760
4,38,809,809
4,39,855,855
4,40,906,906
4,41,950,950
4,42,981,981
4,43,1041,1041
4,44,726,726
4,45,777,777
4,46,823,823
4,47,876,876
4,48,913,913
4,49,936,936
4,50,987,987
4,51,1058,1058
4,52,666,666
4,53,711,711
4,54,749,749
4,55,774,774
4,56,815,815
4,57,859,859
4,58,891,891
4,59,923,923
4,60,981,981
4,61,1069,1069
4,62,813,813
4,63,881,881
4,64,925,925
4,65,974,974
4,66,1062,1062
4,67,822,822
4,68,878,878
4,69,910,910
4,70,947,947
4,71,1038,1038
4,72,745,745
4,73,798,798
4,74,841,841
4,75,876,876
4,76,919,919
4,77,994,994
4,78,1084,1084
4,79,854,854
4,80,898,898
4,81,961,961
