"SIM","YEAR","N","N_OBS"
1,1,1043,1043
1,2,921,921
1,3,960,960
1,4,1036,1036
1,5,380,380
1,6,390,390
1,7,409,409
1,8,424,424
1,9,431,431
1,10,447,447
1,11,466,466
1,12,477,477
1,13,494,494
1,14,534,534
1,15,587,587
1,16,629,629
1,17,691,691
1,18,733,733
1,19,771,771
1,20,819,819
1,21,894,894
1,22,987,987
1,23,1055,1055
1,24,526,526
1,25,574,574
1,26,633,633
1,27,676,676
1,28,720,720
1,29,761,761
1,30,804,804
1,31,890,890
1,32,966,966
1,33,1019,1019
1,34,497,497
1,35,549,549
1,36,605,605
1,37,653,653
1,38,683,683
1,39,716,716
1,40,757,757
1,41,835,835
1,42,919,919
1,43,966,966
1,44,1052,1052
1,45,511,511
1,46,553,553
1,47,607,607
1,48,627,627
1,49,667,667
1,50,706,706
1,51,771,771
1,52,838,838
1,53,909,909
1,54,968,968
1,55,1060,1060
1,56,609,609
1,57,629,629
1,58,660,660
1,59,712,712
1,60,776,776
1,61,855,855
1,62,900,900
1,63,978,978
1,64,1052,1052
1,65,350,350
1,66,385,385
1,67,420,420
1,68,463,463
1,69,516,516
1,70,556,556
1,71,579,579
1,72,601,601
1,73,638,638
1,74,707,707
1,75,774,774
1,76,815,815
1,77,878,878
1,78,968,968
1,79,1031,1031
1,80,524,524
1,81,542,542
1,82,571,571
1,83,616,616
1,84,674,674
1,85,743,743
1,86,790,790
1,87,859,859
1,88,942,942
1,89,1000,1000
1,90,1053,1053
1,91,475,475
1,92,489,489
1,93,500,500
1,94,518,518
1,95,547,547
1,96,607,607
1,97,673,673
1,98,732,732
1,99,794,794
1,100,869,869
2,1,1013,1013
2,2,830,830
2,3,848,848
2,4,889,889
2,5,1055,1055
2,6,470,470
2,7,495,495
2,8,507,507
2,9,534,534
2,10,557,557
2,11,598,598
2,12,666,666
2,13,731,731
2,14,806,806
2,15,882,882
2,16,960,960
2,17,1036,1036
2,18,441,441
2,19,468,468
2,20,497,497
2,21,513,513
2,22,548,548
2,23,599,599
2,24,678,678
2,25,737,737
2,26,798,798
2,27,874,874
2,28,937,937
2,29,994,994
2,30,1067,1067
2,31,587,587
2,32,663,663
2,33,724,724
2,34,781,781
2,35,860,860
2,36,919,919
2,37,984,984
2,38,1052,1052
2,39,466,466
2,40,520,520
2,41,578,578
2,42,641,641
2,43,692,692
2,44,761,761
2,45,847,847
2,46,906,906
2,47,968,968
2,48,1048,1048
2,49,476,476
2,50,537,537
2,51,584,584
2,52,629,629
2,53,685,685
2,54,756,756
2,55,821,821
2,56,851,851
2,57,918,918
2,58,994,994
2,59,1089,1089
2,60,240,240
2,61,256,256
2,62,279,279
2,63,288,288
2,64,293,293
2,65,293,293
2,66,298,298
2,67,306,306
2,68,315,315
2,69,328,328
2,70,354,354
2,71,387,387
2,72,437,437
2,73,494,494
2,74,538,538
2,75,575,575
2,76,629,629
2,77,681,681
2,78,727,727
2,79,774,774
2,80,834,834
2,81,906,906
2,82,990,990
2,83,1022,1022
2,84,300,300
2,85,345,345
2,86,394,394
2,87,438,438
2,88,467,467
2,89,515,515
2,90,566,566
2,91,614,614
2,92,670,670
2,93,708,708
2,94,751,751
2,95,820,820
2,96,895,895
2,97,958,958
2,98,994,994
2,99,1062,1062
2,100,482,482
3,1,675,675
3,2,703,703
3,3,733,733
3,4,769,769
3,5,899,899
3,6,987,987
3,7,1080,1080
3,8,355,355
3,9,363,363
3,10,381,381
3,11,398,398
3,12,404,404
3,13,420,420
3,14,432,432
3,15,460,460
3,16,511,511
3,17,536,536
3,18,586,586
3,19,647,647
3,20,695,695
3,21,752,752
3,22,797,797
3,23,868,868
3,24,956,956
3,25,1024,1024
3,26,499,499
3,27,542,542
3,28,593,593
3,29,642,642
3,30,696,696
3,31,741,741
3,32,805,805
3,33,893,893
3,34,982,982
3,35,1048,1048
3,36,506,506
3,37,554,554
3,38,596,596
3,39,656,656
3,40,696,696
3,41,763,763
3,42,831,831
3,43,908,908
3,44,989,989
3,45,1056,1056
3,46,466,466
3,47,513,513
3,48,560,560
3,49,601,601
3,50,628,628
3,51,675,675
3,52,739,739
3,53,818,818
3,54,882,882
3,55,947,947
3,56,1031,1031
3,57,555,555
3,58,589,589
3,59,624,624
3,60,667,667
3,61,716,716
3,62,790,790
3,63,864,864
3,64,935,935
3,65,1003,1003
3,66,467,467
3,67,514,514
3,68,543,543
3,69,586,586
3,70,623,623
3,71,671,671
3,72,759,759
3,73,817,817
3,74,887,887
3,75,962,962
3,76,1014,1014
3,77,299,299
3,78,316,316
3,79,343,343
3,80,371,371
3,81,416,416
3,82,451,451
3,83,470,470
3,84,504,504
3,85,540,540
3,86,586,586
