"SIM","YEAR","N","N_OBS"
1,1,1041,1041
1,2,1069,1069
1,3,342,342
1,4,336,336
1,5,385,385
1,6,396,396
1,7,413,413
1,8,422,422
1,9,412,412
1,10,417,417
1,11,426,426
1,12,434,434
1,13,443,443
1,14,435,435
1,15,436,436
1,16,442,442
1,17,437,437
1,18,426,426
1,19,420,420
1,20,414,414
1,21,406,406
1,22,403,403
1,23,398,398
1,24,399,399
1,25,389,389
1,26,391,391
1,27,385,385
1,28,379,379
1,29,370,370
1,30,371,371
1,31,365,365
1,32,356,356
1,33,359,359
1,34,351,351
1,35,351,351
1,36,342,342
1,37,337,337
1,38,339,339
1,39,332,332
1,40,328,328
1,41,319,319
1,42,328,328
1,43,320,320
1,44,309,309
1,45,318,318
1,46,315,315
1,47,309,309
1,48,297,297
1,49,305,305
1,50,301,301
1,51,296,296
1,52,290,290
1,53,291,291
1,54,286,286
1,55,278,278
1,56,274,274
1,57,276,276
1,58,267,267
1,59,246,246
1,60,245,245
1,61,243,243
1,62,247,247
1,63,255,255
1,64,243,243
1,65,240,240
1,66,240,240
1,67,239,239
1,68,235,235
1,69,227,227
1,70,223,223
1,71,219,219
1,72,210,210
1,73,208,208
1,74,206,206
1,75,202,202
1,76,196,196
1,77,197,197
1,78,194,194
1,79,191,191
1,80,180,180
1,81,182,182
1,82,183,183
1,83,184,184
1,84,187,187
1,85,190,190
1,86,192,192
1,87,179,179
1,88,186,186
1,89,179,179
1,90,166,166
1,91,169,169
1,92,161,161
1,93,164,164
1,94,155,155
1,95,157,157
1,96,153,153
1,97,148,148
1,98,142,142
1,99,139,139
1,100,134,134
2,1,1030,1030
2,2,387,387
2,3,408,408
2,4,438,438
2,5,532,532
2,6,539,539
2,7,558,558
2,8,596,596
2,9,628,628
2,10,654,654
2,11,665,665
2,12,698,698
2,13,725,725
2,14,764,764
2,15,824,824
2,16,885,885
2,17,955,955
2,18,1037,1037
2,19,179,179
2,20,153,153
2,21,160,160
2,22,167,167
2,23,170,170
2,24,161,161
2,25,148,148
2,26,147,147
2,27,152,152
2,28,147,147
2,29,146,146
2,30,140,140
