"SIM","YEAR","usr","yld","bud","scares","kills","castr","crops","feeds","helps","noact"
1,1,1,5013.41249999999,1859.28731760376,191,0,0,78,0,0,0
1,1,2,4855.575,1123.20988037446,170,0,0,0,0,0,0
1,1,3,4870.925,1539.36173687569,186,0,0,26,0,0,0
1,1,4,4878.33999999999,1902.62660979186,180,0,0,66,0,0,0
1,1,5,4958.325,2363.75600136509,170,0,0,0,0,0,0
1,1,6,4936.3875,1335.29442681612,131,0,0,0,0,0,0
1,1,7,4929.64999999999,2018.90026377873,182,0,0,76,0,0,0
1,1,8,4880,1908.34655567811,173,0,0,12,0,0,0
1,2,1,4986.73749999999,2983.72995514741,97,0,0,1,0,0,0
1,2,2,4824.54375,1241.98493633017,59,0,0,0,0,0,0
1,2,3,4834.925,2182.59624499085,81,0,0,0,0,0,0
1,2,4,4838.21499999999,767.957593254589,100,0,0,0,0,0,0
1,2,5,4912.95,2399.19462635736,124,0,0,0,0,0,0
1,2,6,4892.075,1602.45940577197,70,0,0,0,0,0,0
1,2,7,4891.89999999999,1811.36583291278,106,0,0,0,0,0,0
1,2,8,4851.0625,1430.77861884793,100,0,0,0,0,0,0
1,3,1,4956.36249999999,1371.24541641857,298,0,0,0,0,0,0
1,3,2,4777.66875,2372.85235340301,124,0,0,0,0,0,0
1,3,3,4809.23749999999,1802.54613286408,178,0,0,40,0,0,0
1,3,4,4801.15249999999,2685.16769202279,76,0,0,0,0,0,0
1,3,5,4882.9625,2103.03835901761,184,0,0,55,0,0,0
1,3,6,4840.65,1584.08546292054,156,0,0,4,0,0,0
1,3,7,4861.79999999999,2182.74914248467,152,0,0,29,0,0,0
1,3,8,4825.3875,2988.62561478022,142,0,0,1,0,0,0
1,4,1,4946.96249999999,2435.38724484742,45,0,0,20,0,0,0
1,4,2,4746.21874999999,720.124210905107,72,0,0,50,0,0,0
1,4,3,4778.96499999999,1262.05991507675,55,0,0,37,0,0,0
1,4,4,4758.42249999999,1177.08575457793,79,0,0,63,0,0,0
1,4,5,4841.18749999999,2167.25494585842,67,0,0,36,0,0,0
1,4,6,4790.15,1153.03338086915,54,0,0,18,0,0,0
1,4,7,4833.87499999999,2608.01487092834,72,0,0,31,0,0,0
1,4,8,4805.82749999999,2323.84986628737,93,0,0,57,0,0,0
1,5,1,4920.52499999999,2058.65458268886,162,0,0,0,0,0,0
1,5,2,4707.55624999999,3139.39988286301,48,0,0,0,0,0,0
1,5,3,4729.21499999999,723.99766016826,84,0,0,0,0,0,0
1,5,4,4696.08499999999,1612.93670802776,78,0,0,0,0,0,0
1,5,5,4778.37499999999,1737.58103875947,144,0,0,0,0,0,0
1,5,6,4730.0375,1962.66435674488,76,0,0,1,0,0,0
1,5,7,4798.32999999999,1427.60953366821,155,0,0,28,0,0,0
1,5,8,4786.96499999999,1881.74411586762,144,0,0,16,0,0,0
1,6,1,4896.39999999999,1918.8074480912,205,0,0,0,0,0,0
1,6,2,4668.75624999999,1952.96257477823,237,0,0,76,0,0,0
1,6,3,4656.98999999999,2207.29040745621,72,0,0,0,0,0,0
1,6,4,4619.59999999999,1283.23805749945,148,0,0,13,0,0,0
1,6,5,4728.71249999999,1783.15655792189,155,0,0,18,0,0,0
1,6,6,4674.64,1946.6549892519,169,0,0,27,0,0,0
1,6,7,4770.26749999999,2733.82857359653,142,0,0,0,0,0,0
1,6,8,4779.26499999999,1519.18614184419,160,0,0,28,0,0,0
1,7,1,4884.67499999999,2465.4516693903,106,0,0,1,0,0,0
1,7,2,4632.08124999999,1013.40906087224,108,0,0,0,0,0,0
1,7,3,4568.84624999999,2097.0652565364,122,0,0,1,0,0,0
1,7,4,4539.03749999999,1703.17259972535,71,0,0,0,0,0,0
1,7,5,4661.09062499999,3438.96961753157,99,0,0,0,0,0,0
1,7,6,4609.1025,975.886547725505,108,0,0,0,0,0,0
1,7,7,4727.92374999999,2447.53189819298,151,0,0,1,0,0,0
1,7,8,4763.01499999999,1617.51828838144,84,0,0,0,0,0,0
1,8,1,4878.70249999999,1670.88515640227,0,181,0,65,0,0,0
1,8,2,4598.26874999999,2393.98456914546,0,101,0,0,0,0,0
1,8,3,4491.44781249999,1303.36819119242,0,170,0,39,0,0,0
1,8,4,4447.24499999999,2108.12380115188,0,162,0,8,0,0,0
1,8,5,4597.23187499999,1294.53945774414,3,208,0,102,0,0,0
1,8,6,4547.3525,1248.38159607732,0,97,0,0,0,0,0
1,8,7,4706.01124999998,1420.99738139334,0,182,0,62,0,0,0
1,8,8,4739.18749999999,2932.1317630571,0,143,0,18,0,0,0
1,9,1,4878.70249999999,1969.63359131423,167,0,0,0,0,0,0
1,9,2,4604.72374999999,2435.23119315529,193,0,0,46,0,0,0
1,9,3,4474.49156249999,2373.49405127039,130,0,0,0,0,0,0
1,9,4,4426.64999999999,927.146429388152,172,0,0,35,0,0,3
1,9,5,4587.38187499999,1444.37654529161,129,0,0,0,0,0,0
1,9,6,4534.515,1193.25895332799,124,0,0,0,0,0,0
1,9,7,4701.19874999998,2269.16878416868,142,0,0,0,0,0,0
1,9,8,4754.74749999999,3467.91586637665,210,0,0,77,0,0,0
1,10,1,4877.45249999999,2254.07968484116,196,0,0,0,0,0,0
1,10,2,4609.79749999998,2483.24576336292,185,0,0,58,0,0,0
1,10,3,4472.85406249999,1336.43395820638,169,0,0,68,0,0,0
1,10,4,4418.66249999999,1819.21428377332,92,0,0,0,0,0,0
1,10,5,4571.53187499999,1710.14738546809,144,0,0,0,0,0,0
1,10,6,4519.765,645.640694461892,119,0,0,0,0,0,0
1,10,7,4699.07624999998,1229.38064072469,160,0,0,66,0,0,0
1,10,8,4764.35249999998,2492.46432946561,283,0,0,63,0,0,0
1,11,1,4877.45249999999,369.622265012988,98,0,0,0,0,0,0
1,11,2,4609.94749999998,2132.87814404402,107,0,0,2,0,0,0
1,11,3,4462.85406249999,1974.70011250622,58,0,0,0,0,0,0
1,11,4,4393.17499999999,1707.48439400956,79,0,0,0,0,0,0
1,11,5,4554.33187499999,2395.57554551743,73,0,0,3,0,0,0
1,11,6,4497.89,526.836202760384,28,0,0,0,0,0,0
1,11,7,4693.42624999998,1406.77674006022,53,0,0,1,0,0,0
1,11,8,4768.58249999998,1852.26452519585,97,0,0,26,0,0,0
1,12,1,4877.45249999999,1936.06476682797,16,0,0,0,0,0,0
1,12,2,4610.81249999998,2745.2977155912,87,0,0,13,0,0,0
1,12,3,4454.19406249999,1025.86638719524,84,0,0,4,0,0,0
1,12,4,4377.94999999999,1744.34623515734,74,0,0,0,0,0,0
1,12,5,4538.50687499999,2001.35052065175,98,0,0,14,0,0,0
1,12,6,4468.715,2436.00282025339,22,0,0,2,0,0,0
1,12,7,4683.32624999998,3155.32982791407,61,0,0,0,0,0,0
1,12,8,4766.55749999998,2444.93859253383,80,0,0,1,0,0,0
1,13,1,4893.81749999997,1857.66513968002,4,0,0,169,0,0,0
1,13,2,4630.66549999997,1592.61298733399,21,0,0,146,0,0,0
1,13,3,4466.69406249998,1534.83852562695,0,0,0,102,0,0,0
1,13,4,4404.71049999998,1492.27659447714,0,0,0,174,0,0,0
1,13,5,4548.23049999998,1997.0287056952,6,0,0,160,0,0,0
1,13,6,4477.84874999999,702.74389487731,7,0,0,199,0,0,0
1,13,7,4704.24874999997,2304.94676113472,23,0,0,175,0,0,0
1,13,8,4790.05749999997,1217.4921627564,13,0,0,161,0,0,0
1,14,1,4885.31749999997,2146.94023850596,185,0,0,0,0,0,0
1,14,2,4621.19049999997,1456.37395627287,159,0,0,0,0,0,0
1,14,3,4461.22906249998,1757.49102421008,142,0,0,11,0,0,0
1,14,4,4392.34799999998,1174.67883832496,149,0,0,0,0,0,0
1,14,5,4535.59049999998,2132.61733345826,168,0,0,31,0,0,0
1,14,6,4456.54874999999,1328.26002301204,70,0,0,0,0,0,0
1,14,7,4697.57874999996,2422.72873718216,201,0,0,29,0,0,0
1,14,8,4782.80749999997,1459.40095388692,121,0,0,0,0,0,0
1,15,1,4878.67999999997,1969.41961284614,178,0,0,1,0,0,0
1,15,2,4617.25299999997,2071.51827907183,121,0,0,0,0,0,0
1,15,3,4451.67906249998,2444.52756958752,139,0,0,8,0,0,0
1,15,4,4383.19799999998,2505.35874194854,97,0,0,1,0,0,0
1,15,5,4522.68799999997,2087.88974904247,150,0,0,33,0,0,0
1,15,6,4428.63624999999,2085.831536399,110,0,0,0,0,0,0
1,15,7,4686.83124999996,2165.58694705169,179,0,0,27,0,0,0
1,15,8,4768.07624999997,2070.07936980732,121,0,0,0,0,0,0
1,16,1,4874.06749999997,2059.08328568442,115,0,0,1,0,0,0
1,16,2,4609.52299999997,1704.36446971837,121,0,0,1,0,0,0
1,16,3,4438.44781249998,1674.94224747717,143,0,0,1,0,0,0
1,16,4,4363.89799999998,2728.27534681591,147,0,0,0,0,0,0
1,16,5,4502.64049999997,1617.65564531328,122,0,0,1,0,0,0
1,16,6,4400.42374999999,1246.62342565438,122,0,0,1,0,0,0
1,16,7,4667.83124999996,2335.14114438016,127,0,0,0,0,0,0
1,16,8,4760.00374999997,1376.07193644971,121,0,0,1,0,0,0
1,17,1,4858.77374999997,2051.83256569644,93,0,0,1,0,0,0
1,17,2,4592.52424999997,2204.46746480371,77,0,0,1,0,0,0
1,17,3,4430.84781249998,1002.84794031931,76,0,0,0,0,0,0
1,17,4,4350.04799999998,854.841535085993,124,0,0,0,0,0,0
1,17,5,4473.76799999998,1070.0638784159,73,0,0,1,0,0,0
1,17,6,4378.59874999999,1329.84196035155,56,0,0,1,0,0,0
1,17,7,4644.95624999997,966.381474557514,106,0,0,0,0,0,0
1,17,8,4745.22374999997,2134.95206092018,62,0,0,1,0,0,0
1,18,1,4848.02374999997,1304.33370901294,75,0,0,10,0,0,0
1,18,2,4589.84124999997,1601.94033052374,59,0,0,67,0,0,0
1,18,3,4426.15781249998,986.239213400546,27,0,0,30,0,0,0
1,18,4,4348.94799999998,1306.5030904697,14,0,0,49,0,0,0
1,18,5,4447.24549999997,1674.08775298259,30,0,0,29,0,0,0
1,18,6,4352.55499999998,1390.95891286683,38,0,0,34,0,0,0
1,18,7,4633.79124999996,3245.441108973,26,0,0,29,0,0,0
1,18,8,4732.52749999996,2900.28671165813,64,0,0,47,0,0,0
1,19,1,4852.91999999997,1084.54825098928,29,0,0,52,0,0,0
1,19,2,4591.10374999997,1175.32162361878,40,0,0,52,0,0,0
1,19,3,4410.18531249998,888.380429767572,25,0,0,31,0,0,0
1,19,4,4345.61649999997,2426.83571988358,15,0,0,90,0,0,0
1,19,5,4430.23349999997,1989.32318809844,33,0,0,78,0,0,0
1,19,6,4336.23562499998,1720.54770639784,21,0,0,82,0,0,0
1,19,7,4625.60124999996,2725.74281977184,89,0,0,84,0,0,0
1,19,8,4735.48249999996,1880.86610226888,77,0,0,82,0,0,0
1,20,1,4845.35749999997,1429.69109466331,77,0,0,0,0,0,0
1,20,2,4576.07874999997,1112.58041740486,83,0,0,1,0,0,0
1,20,3,4388.93531249998,2237.13272425618,63,0,0,0,0,0,0
1,20,4,4318.01299999997,1189.54878801176,151,0,0,30,0,0,0
1,20,5,4390.60224999997,2060.3627058152,142,0,0,0,0,0,0
1,20,6,4302.29499999998,1690.02804905693,122,0,0,1,0,0,0
1,20,7,4624.83124999996,759.033371477046,172,0,0,31,0,0,0
1,20,8,4732.63249999996,2288.66448044606,134,0,0,0,0,0,0
1,21,1,4822.70749999997,2252.87279025504,129,0,0,1,0,0,0
1,21,2,4549.62874999997,1902.62148325346,101,0,0,0,0,0,0
1,21,3,4360.14031249997,1386.86686174503,167,0,0,40,0,0,0
1,21,4,4292.68799999997,1348.63304735873,108,0,0,0,0,0,0
1,21,5,4360.71084999997,2205.5567222747,169,0,0,20,0,0,0
1,21,6,4276.84999999998,2402.6424955427,153,0,0,0,0,0,0
1,21,7,4619.68124999996,2345.8071096887,69,0,0,0,0,0,0
1,21,8,4733.56849999996,1785.89728998412,178,0,0,32,0,0,0
1,22,1,4802.08249999997,2349.78293066212,97,0,0,2,0,0,0
1,22,2,4521.90874999997,2020.65851464126,80,0,0,6,0,0,0
1,22,3,4332.37031249997,1969.09537845057,58,0,0,5,0,0,0
1,22,4,4272.60299999997,1447.31610258671,56,0,0,6,0,0,0
1,22,5,4334.95084999997,1528.36602883027,94,0,0,4,0,0,0
1,22,6,4255.84999999998,633.313436496169,104,0,0,1,0,0,0
1,22,7,4589.55624999996,1880.45008870818,101,0,0,2,0,0,0
1,22,8,4724.03662499996,1291.90423370133,75,0,0,6,0,0,0
1,23,1,4791.60749999997,2006.22016451338,195,0,0,0,0,0,0
1,23,2,4489.82124999997,2812.67486096753,166,0,0,2,0,0,0
1,23,3,4293.42706249998,1927.8677001562,151,0,0,15,0,0,0
1,23,4,4238.77674999997,2062.86781848828,120,0,0,0,0,0,0
1,23,5,4307.81959999997,2637.74417548066,127,0,0,0,0,0,0
1,23,6,4241.89999999998,1538.30751597614,52,0,0,0,0,0,0
1,23,7,4573.34374999996,1609.32265574493,151,0,0,6,0,0,0
1,23,8,4709.21162499996,1438.14660048181,107,0,0,0,0,0,0
1,24,1,4807.49674999996,1403.57103863725,23,0,0,120,0,0,0
1,24,2,4497.17084999997,1671.64478833701,46,0,0,120,0,0,0
1,24,3,4294.35003749997,2794.65680820011,12,0,0,150,0,0,0
1,24,4,4225.76414999997,2526.90420694798,22,0,0,129,0,0,0
1,24,5,4299.79459999997,1152.90529335193,36,0,0,136,0,0,0
1,24,6,4237.63162499997,1486.21543048589,0,0,0,153,0,0,0
1,24,7,4572.49174999996,2100.64132540921,12,0,0,117,0,0,0
1,24,8,4712.61772499996,1170.92075875075,5,0,0,126,0,0,0
1,25,1,4794.72174999997,1901.37952117031,140,0,0,0,0,0,0
1,25,2,4486.55334999997,857.088498171133,167,0,0,0,0,0,0
1,25,3,4284.48928749997,2483.63698355251,198,0,0,80,0,0,0
1,25,4,4205.83896999997,768.798955444199,173,0,0,79,0,0,0
1,25,5,4264.99772499997,1959.45282306904,115,0,0,0,0,0,0
1,25,6,4199.25724999997,2182.66201298682,148,0,0,0,0,0,0
1,25,7,4544.84374999996,1365.98400033626,200,0,0,10,0,0,0
1,25,8,4693.46022499996,682.872133742518,117,0,0,0,0,0,0
1,26,1,4777.26549999997,1468.70991262791,90,0,0,1,0,0,0
1,26,2,4479.75334999997,1945.16258178614,40,0,0,1,0,0,0
1,26,3,4272.86678749997,2119.49612193489,116,0,0,4,0,0,0
1,26,4,4176.01646999997,1718.37343742848,36,0,0,1,0,0,0
1,26,5,4218.43172499997,1937.76756258842,93,0,0,0,0,0,0
1,26,6,4162.98599999997,870.524425519929,102,0,0,4,0,0,0
1,26,7,4522.41124999996,1269.37763017537,65,0,0,0,0,0,0
1,26,8,4663.49522499996,3140.66408782351,32,0,0,1,0,0,0
1,27,1,4763.16737499996,2455.52208599511,44,0,0,28,0,0,0
1,27,2,4471.63234999997,1228.89707178354,52,0,0,54,0,0,0
1,27,3,4278.28088749997,1582.31061561131,48,0,0,82,0,0,0
1,27,4,4159.36321999997,1602.9884198992,38,0,0,69,0,0,0
1,27,5,4191.35147499997,2876.53925111505,41,0,0,83,0,0,0
1,27,6,4147.68249999997,2115.39570719564,10,0,0,60,0,0,0
1,27,7,4491.92124999996,2680.68622084052,27,0,0,54,0,0,0
1,27,8,4640.38622499995,966.662053079596,84,0,0,87,0,0,0
1,28,1,4737.83737499996,1334.14333375835,245,0,0,0,0,0,0
1,28,2,4454.40734999996,1066.48866064638,122,0,0,0,0,0,0
1,28,3,4263.78588749997,1953.36892084436,158,0,0,0,0,0,0
1,28,4,4126.53759499997,2298.06523481816,160,0,0,0,0,0,0
1,28,5,4155.38197499997,1657.21227433978,215,0,0,72,0,0,0
1,28,6,4123.55999999997,1952.56928574215,172,0,0,38,0,0,0
1,28,7,4466.09937499996,2081.86920700751,188,0,0,80,0,0,0
1,28,8,4605.09247499995,1408.82947815562,96,0,0,0,0,0,0
1,29,1,4725.31237499996,1413.24767184924,102,0,0,0,0,0,0
1,29,2,4423.99984999997,2535.70385263173,82,0,0,0,0,0,0
1,29,3,4241.65151249997,1812.21940897398,142,0,0,9,0,0,0
1,29,4,4094.06884499997,1316.40850740138,176,0,0,1,0,0,0
1,29,5,4127.30697499997,1492.89919434632,127,0,0,0,0,0,0
1,29,6,4089.03509999997,1569.03044457639,136,0,0,18,0,0,0
1,29,7,4427.11187499996,1074.35024199182,160,0,0,0,0,0,0
1,29,8,4557.12147499996,886.764202528313,108,0,0,0,0,0,0
1,30,1,4685.37362499997,1293.20684477696,94,0,0,0,0,0,0
1,30,2,4383.71734999997,1680.93872471604,167,0,0,3,0,0,0
1,30,3,4217.94251249997,2771.23442458607,120,0,0,1,0,0,0
1,30,4,4078.74384499997,1698.8665048549,87,0,0,1,0,0,0
1,30,5,4098.91697499997,2506.60038234678,99,0,0,0,0,0,0
1,30,6,4051.55322499997,1380.21832710851,104,0,0,0,0,0,0
1,30,7,4382.77687499996,1808.3239714267,71,0,0,0,0,0,0
1,30,8,4506.78897499996,1278.1702002444,59,0,0,0,0,0,0
1,31,1,4649.86112499997,2201.61987876432,76,0,0,0,0,0,0
1,31,2,4362.04484999997,1417.67468574118,98,0,0,1,0,0,0
1,31,3,4200.71251249997,1869.67576205803,157,0,0,10,0,0,0
1,31,4,4057.52134499997,1420.96804010946,99,0,0,1,0,0,0
1,31,5,4074.22166249997,791.683683587148,147,0,0,0,0,0,0
1,31,6,4006.76259999997,2117.50622021029,81,0,0,0,0,0,0
1,31,7,4327.81906249996,1397.32768129036,106,0,0,0,0,0,0
1,31,8,4445.28397499996,2098.13829198084,75,0,0,0,0,0,0
1,32,1,4593.53799999997,1142.51801065933,220,0,0,0,0,0,0
1,32,2,4335.29797499997,2394.48291990568,141,0,0,0,0,0,0
1,32,3,4190.18751249997,622.668017054019,186,0,0,0,0,0,0
1,32,4,4041.67878249997,1029.7336341841,142,0,0,0,0,0,0
1,32,5,4051.48759999997,858.468796865974,79,0,0,0,0,0,0
1,32,6,3965.41153749997,1704.64710028698,172,0,0,39,0,0,0
1,32,7,4269.11156249996,1491.30195097983,139,0,0,0,0,0,0
1,32,8,4391.85897499996,2754.06468395139,160,0,0,49,0,0,0
1,33,1,4548.63599999997,3055.38975833256,87,0,0,1,0,0,0
1,33,2,4306.19857499997,1936.99161849718,174,0,0,12,0,0,0
1,33,3,4180.18251249997,1272.49974386445,47,0,0,1,0,0,0
1,33,4,4027.05378249997,2270.14850799848,79,0,0,0,0,0,0
1,33,5,4003.50422499997,2292.79712530173,66,0,0,0,0,0,0
1,33,6,3909.26997499997,2243.99898421354,131,0,0,0,0,0,0
1,33,7,4198.19781249996,1785.34155450211,114,0,0,0,0,0,0
1,33,8,4337.75727499996,1122.44005159655,185,0,0,34,0,0,0
1,34,1,4520.11284999998,3111.03718071444,43,0,0,134,0,0,0
1,34,2,4309.82759499997,1859.10344468866,14,0,0,139,0,0,0
1,34,3,4176.93136249997,1526.00916739993,2,0,0,119,0,0,0
1,34,4,4002.69189249998,1568.63541621905,26,0,0,123,0,0,0
1,34,5,3971.85081249998,1627.42216649107,21,0,0,147,0,0,0
1,34,6,3886.69192499998,1183.60085630474,23,0,0,133,0,0,0
1,34,7,4160.75273749997,2407.54804996025,18,0,0,107,0,0,0
1,34,8,4315.29917499997,3185.74329526115,0,0,0,112,0,0,0
1,35,1,4492.43634999997,1331.55571733976,2,184,0,83,0,0,0
1,35,2,4284.33954499997,1701.55294415579,0,168,0,17,0,0,0
1,35,3,4141.79386249997,857.939101815,0,152,0,0,0,0,0
1,35,4,3948.94189249998,1923.72761441448,0,156,0,0,0,0,0
1,35,5,3925.68293749998,1876.76283262548,0,150,0,12,0,0,0
1,35,6,3827.73145624998,1756.56585841655,0,118,0,0,0,0,0
1,35,7,4110.91023749996,2151.70292121525,0,182,0,58,0,0,0
1,35,8,4271.07767499996,2567.09750755969,1,208,0,95,0,0,0
1,36,1,4492.43634999997,2285.5781705773,133,0,0,0,0,0,0
1,36,2,4284.33954499997,1103.35528879022,170,0,0,0,0,0,0
1,36,3,4141.79386249997,1781.55004852162,85,0,0,0,0,0,0
1,36,4,3951.20752449998,778.60721133327,181,0,0,11,0,0,0
1,36,5,3927.81543749998,2380.22177358476,156,0,0,31,0,0,0
1,36,6,3820.60395624998,2265.38195606805,160,0,0,15,0,0,0
1,36,7,4111.80833749997,1442.5420885117,184,0,0,31,0,0,0
1,36,8,4286.38129499997,795.296569724207,180,0,0,76,0,0,0
1,37,1,4490.57434999997,1771.22402435294,142,0,0,1,0,0,0
1,37,2,4278.64154499997,1336.15374768179,68,0,0,1,0,0,0
1,37,3,4131.85436249997,1739.24948188286,111,0,0,0,0,0,0
