"SIM","YEAR","N","N_OBS"
1,1,970,970
1,2,971,971
1,3,986,986
1,4,1015,1015
1,5,26,26
1,6,31,31
1,7,34,34
1,8,38,38
1,9,40,40
1,10,45,45
1,11,44,44
1,12,45,45
1,13,57,57
1,14,60,60
1,15,67,67
1,16,70,70
1,17,73,73
1,18,78,78
1,19,77,77
1,20,79,79
1,21,88,88
1,22,98,98
1,23,108,108
1,24,109,109
1,25,113,113
1,26,113,113
1,27,118,118
1,28,127,127
1,29,136,136
1,30,138,138
1,31,139,139
1,32,145,145
1,33,153,153
1,34,167,167
1,35,170,170
1,36,168,168
1,37,167,167
1,38,166,166
1,39,161,161
1,40,151,151
1,41,149,149
1,42,144,144
1,43,147,147
1,44,145,145
1,45,144,144
1,46,141,141
1,47,135,135
1,48,131,131
1,49,127,127
1,50,126,126
1,51,126,126
1,52,120,120
1,53,113,113
1,54,115,115
1,55,113,113
1,56,112,112
1,57,102,102
1,58,102,102
1,59,100,100
1,60,93,93
1,61,90,90
1,62,93,93
1,63,85,85
1,64,83,83
1,65,76,76
1,66,69,69
1,67,59,59
1,68,52,52
1,69,49,49
1,70,46,46
1,71,44,44
1,72,40,40
1,73,41,41
1,74,37,37
1,75,34,34
1,76,27,27
1,77,19,19
1,78,18,18
1,79,15,15
1,80,12,12
1,81,7,7
1,82,8,8
1,83,5,5
1,84,NA,NA
1,85,NA,NA
1,86,NA,NA
1,87,NA,NA
1,88,NA,NA
1,89,NA,NA
1,90,NA,NA
1,91,NA,NA
1,92,NA,NA
1,93,NA,NA
1,94,NA,NA
1,95,NA,NA
1,96,NA,NA
1,97,NA,NA
1,98,NA,NA
1,99,NA,NA
1,100,NA,NA
2,1,973,973
2,2,986,986
2,3,1003,1003
2,4,881,881
2,5,1019,1019
2,6,185,185
2,7,202,202
2,8,222,222
2,9,235,235
2,10,257,257
2,11,280,280
2,12,305,305
2,13,328,328
2,14,344,344
2,15,384,384
2,16,402,402
2,17,414,414
2,18,421,421
2,19,426,426
2,20,438,438
2,21,438,438
2,22,433,433
2,23,426,426
2,24,419,419
2,25,416,416
2,26,413,413
2,27,413,413
2,28,409,409
2,29,406,406
2,30,403,403
2,31,398,398
2,32,395,395
2,33,391,391
2,34,386,386
2,35,382,382
2,36,378,378
2,37,376,376
2,38,371,371
2,39,372,372
2,40,370,370
2,41,365,365
2,42,365,365
2,43,362,362
2,44,360,360
2,45,356,356
2,46,353,353
2,47,351,351
2,48,350,350
2,49,349,349
2,50,349,349
2,51,348,348
2,52,343,343
2,53,337,337
2,54,330,330
2,55,329,329
2,56,324,324
2,57,322,322
2,58,318,318
2,59,315,315
2,60,310,310
2,61,306,306
2,62,299,299
2,63,293,293
2,64,293,293
2,65,284,284
2,66,282,282
2,67,281,281
2,68,276,276
2,69,275,275
2,70,264,264
2,71,261,261
2,72,258,258
2,73,250,250
2,74,245,245
2,75,240,240
2,76,232,232
2,77,233,233
2,78,229,229
2,79,228,228
2,80,220,220
2,81,222,222
2,82,211,211
2,83,208,208
2,84,207,207
2,85,200,200
2,86,204,204
2,87,194,194
2,88,189,189
2,89,188,188
2,90,172,172
2,91,169,169
2,92,165,165
2,93,163,163
2,94,161,161
2,95,159,159
2,96,159,159
2,97,151,151
2,98,147,147
2,99,137,137
2,100,133,133
3,1,611,611
3,2,626,626
3,3,619,619
3,4,621,621
3,5,713,713
3,6,744,744
3,7,768,768
3,8,803,803
3,9,850,850
3,10,903,903
3,11,980,980
3,12,1049,1049
3,13,290,290
3,14,300,300
3,15,329,329
3,16,364,364
3,17,397,397
3,18,426,426
3,19,439,439
3,20,450,450
3,21,446,446
3,22,434,434
3,23,433,433
3,24,429,429
3,25,422,422
3,26,414,414
3,27,408,408
3,28,403,403
3,29,398,398
3,30,395,395
3,31,393,393
3,32,385,385
3,33,384,384
3,34,381,381
3,35,378,378
3,36,370,370
3,37,366,366
3,38,361,361
3,39,357,357
3,40,352,352
3,41,341,341
3,42,332,332
3,43,333,333
3,44,320,320
3,45,323,323
3,46,317,317
3,47,319,319
