"SIM","YEAR","N","N_OBS"
1,1,1015,1015
1,2,1040,1040
1,3,470,470
1,4,501,501
1,5,594,594
1,6,653,653
1,7,714,714
1,8,777,777
1,9,833,833
1,10,912,912
1,11,1018,1018
1,12,750,750
1,13,812,812
1,14,881,881
1,15,964,964
1,16,1055,1055
1,17,774,774
1,18,829,829
1,19,907,907
1,20,994,994
1,21,1069,1069
1,22,816,816
1,23,892,892
1,24,972,972
1,25,1058,1058
1,26,783,783
1,27,849,849
1,28,944,944
1,29,1018,1018
1,30,767,767
1,31,839,839
1,32,929,929
1,33,1004,1004
1,34,784,784
1,35,859,859
1,36,932,932
1,37,1005,1005
1,38,783,783
1,39,861,861
1,40,939,939
1,41,1008,1008
1,42,775,775
1,43,846,846
1,44,918,918
1,45,987,987
1,46,1059,1059
1,47,839,839
1,48,918,918
1,49,983,983
1,50,1066,1066
1,51,790,790
1,52,871,871
1,53,940,940
1,54,1010,1010
1,55,878,878
1,56,934,934
1,57,993,993
1,58,1069,1069
1,59,843,843
1,60,921,921
1,61,978,978
1,62,1041,1041
1,63,841,841
1,64,896,896
1,65,963,963
1,66,1024,1024
1,67,833,833
1,68,898,898
1,69,978,978
1,70,1027,1027
1,71,887,887
1,72,954,954
1,73,1019,1019
1,74,848,848
1,75,903,903
1,76,980,980
1,77,1037,1037
1,78,790,790
1,79,835,835
1,80,892,892
1,81,961,961
1,82,1011,1011
1,83,830,830
1,84,903,903
1,85,963,963
1,86,1007,1007
1,87,802,802
1,88,848,848
1,89,921,921
1,90,964,964
1,91,1029,1029
1,92,817,817
1,93,895,895
1,94,934,934
1,95,972,972
1,96,1016,1016
1,97,816,816
1,98,887,887
1,99,924,924
1,100,978,978
2,1,1021,1021
2,2,795,795
2,3,815,815
2,4,857,857
2,5,1031,1031
2,6,667,667
2,7,684,684
2,8,733,733
2,9,779,779
2,10,835,835
2,11,915,915
2,12,1000,1000
2,13,1112,1112
2,14,800,800
2,15,876,876
2,16,957,957
2,17,1049,1049
2,18,792,792
2,19,878,878
2,20,975,975
2,21,1062,1062
2,22,851,851
2,23,929,929
2,24,1022,1022
2,25,801,801
2,26,882,882
2,27,971,971
2,28,1062,1062
2,29,873,873
2,30,956,956
2,31,1037,1037
2,32,842,842
2,33,932,932
2,34,1013,1013
2,35,836,836
2,36,931,931
2,37,1027,1027
2,38,800,800
2,39,862,862
2,40,946,946
2,41,1045,1045
2,42,877,877
2,43,961,961
2,44,1057,1057
2,45,907,907
2,46,990,990
2,47,1069,1069
2,48,827,827
2,49,890,890
2,50,980,980
2,51,1057,1057
2,52,799,799
2,53,885,885
2,54,965,965
2,55,1049,1049
2,56,829,829
2,57,901,901
2,58,995,995
2,59,1077,1077
2,60,856,856
2,61,955,955
2,62,1034,1034
2,63,855,855
2,64,932,932
2,65,1014,1014
2,66,847,847
2,67,929,929
2,68,1026,1026
2,69,834,834
2,70,903,903
2,71,983,983
2,72,1060,1060
2,73,857,857
2,74,932,932
2,75,1008,1008
2,76,841,841
2,77,912,912
2,78,983,983
2,79,1056,1056
2,80,863,863
2,81,948,948
2,82,1019,1019
2,83,967,967
2,84,1059,1059
2,85,936,936
2,86,1022,1022
2,87,985,985
2,88,1099,1099
2,89,996,996
2,90,1105,1105
2,91,1021,1021
2,92,1092,1092
2,93,916,916
2,94,999,999
2,95,1121,1121
2,96,965,965
2,97,1073,1073
2,98,976,976
2,99,1092,1092
2,100,984,984
3,1,927,927
3,2,918,918
3,3,920,920
3,4,944,944
3,5,1082,1082
3,6,564,564
3,7,591,591
3,8,628,628
3,9,665,665
3,10,710,710
3,11,765,765
3,12,829,829
3,13,885,885
3,14,942,942
3,15,989,989
3,16,1050,1050
3,17,719,719
3,18,780,780
