"SIM","YEAR","N","N_OBS"
1,1,976,976
1,2,969,969
1,3,989,989
1,4,1014,1014
1,5,369,369
1,6,384,384
1,7,406,406
1,8,430,430
1,9,471,471
1,10,524,524
1,11,555,555
1,12,575,575
1,13,594,594
1,14,635,635
1,15,677,677
1,16,712,712
1,17,767,767
1,18,804,804
1,19,871,871
1,20,912,912
1,21,972,972
1,22,1025,1025
1,23,1061,1061
1,24,312,312
1,25,349,349
1,26,384,384
1,27,421,421
1,28,450,450
1,29,479,479
1,30,494,494
1,31,495,495
1,32,502,502
1,33,506,506
1,34,510,510
1,35,519,519
1,36,542,542
1,37,565,565
1,38,615,615
1,39,666,666
1,40,700,700
1,41,741,741
1,42,788,788
1,43,835,835
1,44,897,897
1,45,948,948
1,46,1010,1010
1,47,82,82
1,48,89,89
1,49,96,96
1,50,99,99
1,51,105,105
1,52,115,115
1,53,133,133
1,54,142,142
1,55,142,142
1,56,141,141
1,57,136,136
1,58,130,130
1,59,119,119
1,60,114,114
1,61,110,110
1,62,107,107
1,63,105,105
1,64,102,102
1,65,99,99
1,66,95,95
1,67,89,89
1,68,85,85
1,69,79,79
1,70,74,74
1,71,70,70
1,72,69,69
1,73,65,65
1,74,60,60
1,75,60,60
1,76,51,51
1,77,48,48
1,78,42,42
1,79,40,40
1,80,38,38
1,81,30,30
1,82,32,32
1,83,25,25
1,84,24,24
1,85,18,18
1,86,13,13
1,87,13,13
1,88,10,10
1,89,11,11
1,90,8,8
1,91,7,7
1,92,4,4
1,93,2,2
1,94,NA,NA
1,95,NA,NA
1,96,NA,NA
1,97,NA,NA
1,98,NA,NA
1,99,NA,NA
1,100,NA,NA
2,1,989,989
2,2,991,991
2,3,1014,1014
2,4,145,145
2,5,169,169
2,6,162,162
2,7,166,166
2,8,171,171
2,9,180,180
2,10,203,203
2,11,215,215
2,12,227,227
2,13,241,241
2,14,267,267
2,15,299,299
2,16,328,328
2,17,369,369
2,18,382,382
2,19,413,413
2,20,448,448
2,21,483,483
2,22,526,526
2,23,574,574
2,24,619,619
2,25,662,662
2,26,717,717
2,27,781,781
2,28,847,847
2,29,900,900
2,30,958,958
2,31,1025,1025
2,32,1045,1045
2,33,691,691
2,34,740,740
2,35,799,799
2,36,851,851
2,37,922,922
2,38,985,985
2,39,1052,1052
2,40,1063,1063
2,41,217,217
2,42,241,241
2,43,269,269
2,44,281,281
2,45,280,280
2,46,287,287
2,47,303,303
2,48,318,318
2,49,342,342
2,50,367,367
2,51,386,386
2,52,426,426
2,53,460,460
2,54,494,494
2,55,541,541
2,56,586,586
2,57,641,641
2,58,688,688
2,59,742,742
2,60,799,799
2,61,862,862
2,62,922,922
2,63,980,980
2,64,1058,1058
2,65,1047,1047
2,66,438,438
2,67,462,462
2,68,490,490
2,69,528,528
2,70,581,581
2,71,628,628
2,72,680,680
2,73,727,727
2,74,798,798
2,75,856,856
2,76,904,904
2,77,966,966
2,78,1042,1042
2,79,472,472
2,80,514,514
2,81,564,564
2,82,606,606
2,83,633,633
2,84,680,680
2,85,740,740
2,86,791,791
2,87,836,836
2,88,891,891
2,89,963,963
2,90,1036,1036
2,91,1041,1041
2,92,582,582
2,93,618,618
2,94,677,677
2,95,736,736
2,96,782,782
2,97,835,835
2,98,884,884
2,99,961,961
2,100,1021,1021
3,1,198,198
3,2,208,208
3,3,213,213
3,4,219,219
3,5,254,254
3,6,262,262
3,7,266,266
3,8,284,284
3,9,297,297
3,10,311,311
3,11,319,319
3,12,329,329
3,13,337,337
3,14,352,352
3,15,377,377
3,16,403,403
3,17,449,449
3,18,492,492
3,19,519,519
3,20,533,533
3,21,540,540
3,22,543,543
3,23,534,534
3,24,518,518
3,25,520,520
3,26,524,524
3,27,532,532
3,28,509,509
3,29,500,500
3,30,506,506
3,31,505,505
3,32,505,505
3,33,494,494
3,34,493,493
3,35,486,486
3,36,492,492
3,37,483,483
3,38,481,481
3,39,463,463
3,40,470,470
3,41,468,468
3,42,462,462
3,43,465,465
3,44,459,459
3,45,453,453
3,46,454,454
3,47,451,451
3,48,445,445
3,49,441,441
3,50,440,440
3,51,440,440
3,52,433,433
3,53,437,437
3,54,427,427
3,55,428,428
3,56,422,422
3,57,427,427
3,58,415,415
3,59,422,422
3,60,417,417
3,61,417,417
3,62,411,411
3,63,410,410
3,64,410,410
3,65,410,410
3,66,404,404
3,67,402,402
3,68,398,398
3,69,397,397
3,70,394,394
3,71,386,386
3,72,384,384
3,73,379,379
3,74,376,376
3,75,377,377
3,76,369,369
3,77,367,367
3,78,366,366
3,79,358,358
3,80,358,358
3,81,356,356
3,82,347,347
3,83,350,350
3,84,350,350
3,85,343,343
3,86,345,345
3,87,342,342
3,88,333,333
3,89,330,330
3,90,327,327
3,91,320,320
3,92,322,322
3,93,314,314
3,94,311,311
3,95,311,311
3,96,304,304
3,97,297,297
3,98,304,304
3,99,293,293
3,100,291,291
4,1,989,989
4,2,964,964
4,3,988,988
4,4,1028,1028
4,5,1161,1161
4,6,319,319
4,7,343,343
4,8,382,382
4,9,417,417
4,10,437,437
4,11,471,471
4,12,505,505
4,13,519,519
4,14,540,540
4,15,559,559
4,16,593,593
4,17,613,613
4,18,634,634
4,19,667,667
4,20,688,688
4,21,705,705
4,22,718,718
4,23,729,729
4,24,759,759
4,25,791,791
4,26,822,822
4,27,874,874
4,28,940,940
4,29,1010,1010
4,30,1008,1008
4,31,1019,1019
4,32,623,623
4,33,625,625
4,34,633,633
4,35,641,641
4,36,646,646
4,37,665,665
4,38,677,677
4,39,706,706
4,40,749,749
4,41,778,778
4,42,820,820
4,43,880,880
4,44,953,953
4,45,1020,1020
4,46,219,219
4,47,222,222
4,48,245,245
4,49,272,272
4,50,303,303
4,51,312,312
4,52,329,329
4,53,337,337
4,54,355,355
4,55,358,358
4,56,357,357
4,57,362,362
4,58,373,373
4,59,389,389
4,60,407,407
4,61,432,432
4,62,455,455
4,63,464,464
4,64,478,478
4,65,486,486
4,66,498,498
4,67,497,497
4,68,497,497
4,69,483,483
4,70,476,476
4,71,478,478
4,72,485,485
4,73,487,487
4,74,484,484
4,75,475,475
4,76,473,473
4,77,473,473
4,78,466,466
4,79,460,460
4,80,454,454
4,81,449,449
4,82,451,451
4,83,448,448
4,84,439,439
4,85,432,432
4,86,429,429
4,87,427,427
4,88,427,427
4,89,420,420
4,90,417,417
4,91,411,411
4,92,410,410
4,93,405,405
4,94,397,397
4,95,397,397
4,96,388,388
4,97,393,393
4,98,387,387
4,99,386,386
4,100,380,380
5,1,1021,1021
5,2,1003,1003
5,3,1032,1032
5,4,270,270
5,5,302,302
5,6,308,308
5,7,323,323
5,8,346,346
5,9,369,369
5,10,406,406
5,11,452,452
5,12,500,500
5,13,538,538
5,14,582,582
5,15,622,622
5,16,659,659
5,17,697,697
5,18,730,730
5,19,764,764
5,20,817,817
5,21,883,883
5,22,960,960
