"SIM","YEAR","N","N_OBS"
1,1,1011,1011
1,2,1048,1048
1,3,1081,1081
1,4,1030,1030
1,5,895,895
1,6,966,966
1,7,1031,1031
1,8,594,594
1,9,652,652
1,10,714,714
1,11,785,785
1,12,879,879
1,13,955,955
1,14,1040,1040
1,15,1064,1064
1,16,603,603
1,17,653,653
1,18,719,719
1,19,782,782
1,20,860,860
1,21,951,951
1,22,1024,1024
1,23,1045,1045
1,24,807,807
1,25,896,896
1,26,962,962
1,27,1028,1028
1,28,465,465
1,29,508,508
1,30,564,564
1,31,620,620
1,32,684,684
1,33,757,757
1,34,843,843
1,35,905,905
1,36,973,973
1,37,1056,1056
1,38,658,658
1,39,722,722
1,40,812,812
1,41,894,894
1,42,966,966
1,43,1035,1035
1,44,699,699
1,45,793,793
1,46,861,861
1,47,930,930
1,48,994,994
1,49,1084,1084
1,50,679,679
1,51,762,762
1,52,844,844
1,53,898,898
1,54,962,962
1,55,1042,1042
1,56,1073,1073
1,57,695,695
1,58,759,759
1,59,808,808
1,60,867,867
1,61,920,920
1,62,996,996
1,63,1059,1059
1,64,697,697
1,65,768,768
1,66,823,823
1,67,877,877
1,68,940,940
1,69,1024,1024
1,70,695,695
1,71,746,746
1,72,794,794
1,73,838,838
1,74,893,893
1,75,966,966
1,76,1028,1028
1,77,1027,1027
1,78,896,896
1,79,957,957
1,80,1008,1008
1,81,764,764
1,82,808,808
1,83,848,848
1,84,926,926
1,85,969,969
1,86,1028,1028
1,87,756,756
1,88,814,814
1,89,881,881
1,90,922,922
1,91,969,969
1,92,1017,1017
1,93,711,711
1,94,755,755
1,95,798,798
1,96,851,851
1,97,906,906
1,98,961,961
1,99,994,994
1,100,1047,1047
2,1,989,989
2,2,987,987
2,3,1033,1033
2,4,993,993
2,5,1165,1165
2,6,1190,1190
2,7,516,516
2,8,550,550
2,9,587,587
2,10,630,630
2,11,660,660
2,12,684,684
2,13,730,730
2,14,760,760
2,15,798,798
2,16,832,832
2,17,905,905
2,18,984,984
2,19,1089,1089
2,20,1095,1095
2,21,276,276
2,22,295,295
2,23,301,301
2,24,295,295
2,25,294,294
2,26,296,296
2,27,302,302
2,28,299,299
2,29,302,302
2,30,317,317
2,31,353,353
