"SIM","YEAR","usr","yld","bud","scares","kills","castr","crops","feeds","helps","noact"
1,1,1,2780.096,1716.84800881123,0,49,0,39,0,0,0
1,1,2,2786.4896,1123.9871251188,0,44,0,37,0,0,0
1,1,3,2777.16,1140.02132496947,0,14,0,22,0,0,0
1,1,4,2783.456,1786.95838373962,0,23,0,46,0,0,0
1,1,5,2783.064,1499.83081734301,0,46,0,49,0,0,0
1,1,6,2785.088,1276.30931991404,0,33,0,35,0,0,0
1,1,7,20364.2159999998,9099.7539591582,0,24,0,61,0,0,0
1,1,8,0,7,0,38,0,40,0,0,0
1,2,1,2801.464,943.983995825155,23,0,0,141,0,0,0
1,2,2,2802.3376,1591.36910165824,1,0,0,111,0,0,0
1,2,3,2792.552,1098.22717129798,0,0,0,114,0,0,0
1,2,4,2800.512,866.338359412889,42,0,0,124,0,0,0
1,2,5,2800.016,731.268782999222,23,0,0,120,0,0,0
1,2,6,2802.3904,1242.19507334671,7,0,0,118,0,0,0
1,2,7,20328.2579199998,8219.95973201583,333,6,0,318,0,0,2
1,2,8,0,7,0,0,0,0,0,0,0
1,3,1,2806.912,698.512483334317,0,0,0,94,0,0,0
1,3,2,2819.688,1586.82639910906,13,0,0,139,0,0,0
1,3,3,2805.16,216.783107492346,0,0,0,109,0,0,0
1,3,4,2808.68,998.38076558361,0,0,0,86,0,0,0
1,3,5,2806.6176,1190.42369239449,0,0,0,73,0,0,0
1,3,6,2818.4864,702.852370658748,2,0,0,121,0,0,0
1,3,7,20299.2687999997,3948.66114691749,255,6,0,277,0,0,25
1,3,8,0,7,0,0,0,0,0,0,0
1,4,1,2791.16288,1226.86360469059,68,0,0,1,0,0,0
1,4,2,2821.672,1554.96271804189,76,0,0,82,0,0,0
1,4,3,2796.264,1753.54011083209,2,0,0,19,0,0,0
1,4,4,2810.176,1215.76922083009,46,0,0,53,0,0,0
1,4,5,2805.216,696.263379176323,61,0,0,58,0,0,0
1,4,6,2813.1968,550.431712758286,41,0,0,29,0,0,0
1,4,7,20274.7951999997,13833.2555187273,189,0,0,205,0,0,0
1,4,8,0,7,0,0,0,0,0,0,0
1,5,1,2796.03968,263.395590466016,0,0,0,122,0,0,0
1,5,2,2835.53408,1576.85794515989,1,0,0,148,0,0,0
1,5,3,2816.56,1302.00268844779,2,0,0,163,0,0,0
1,5,4,2823.3296,812.61275777835,0,0,0,121,0,0,0
1,5,5,2809.176,996.331391009955,0,0,0,69,0,0,0
1,5,6,2814.8704,2060.45088579448,0,0,0,55,0,0,0
1,5,7,20249.2911999996,10390.9476343124,184,0,0,318,0,0,1
1,5,8,0,7,0,0,0,0,0,0,0
1,6,1,2780.85856,1706.02151192101,0,12,0,14,0,0,0
1,6,2,2831.349824,734.534947625512,0,81,0,76,0,0,0
1,6,3,2810.12352,1761.90965716791,0,76,0,54,0,0,0
1,6,4,2821.2848,1338.46000260211,0,35,0,46,0,0,0
1,6,5,2806.3344,1222.79109376889,0,46,0,53,0,0,0
1,6,6,2824.288,1641.56210400064,0,114,0,92,0,0,0
1,6,7,20238.1373439995,14577.4450722241,23,341,0,346,0,0,0
1,6,8,0,7,0,0,0,0,0,0,0
1,7,1,2781.75168,1607.2733836078,93,0,0,77,0,0,0
1,7,2,2830.290304,1096.12765497051,31,0,0,42,0,0,0
1,7,3,2823.70272,1057.34774012024,88,0,0,88,0,0,0
1,7,4,2825.9152,775.523290082744,84,0,0,49,0,0,0
1,7,5,2814.8944,1414.87853317102,60,0,0,62,0,0,0
1,7,6,2840.7616,838.946503493294,67,0,0,97,0,0,0
1,7,7,20268.9952639995,4495.07189754209,372,26,0,300,0,0,0
1,7,8,0,7,0,0,0,0,0,0,0
1,8,1,2769.1568,1511.37738378949,159,0,0,1,0,0,0
1,8,2,2830.845184,1261.30164818315,61,0,0,48,0,0,0
1,8,3,2826.16832,1130.02468703793,61,0,0,44,0,0,0
1,8,4,2830.9632,1316.28012182689,24,0,0,53,0,0,0
1,8,5,2824.9248,1764.11681730603,74,0,0,67,0,0,0
1,8,6,2846.5216,935.307415049847,41,0,0,42,0,0,0
1,8,7,20286.0634879995,6269.59058253174,240,0,0,209,0,0,0
1,8,8,0,7,0,0,0,0,0,0,0
1,9,1,2786.7744,845.279346641379,16,0,0,117,0,0,0
1,9,2,2854.193984,1224.1598354945,0,0,0,126,0,0,0
1,9,3,2842.559296,1183.76304991859,0,0,0,113,0,0,0
1,9,4,2854.8224,1341.12467749604,0,0,0,131,0,0,0
1,9,5,2848.9536,941.775060520468,20,0,0,134,0,0,0
1,9,6,2859.83872,1009.46171165455,0,0,0,93,0,0,0
1,9,7,20301.7063679995,6391.46734151576,177,0,0,242,0,0,13
1,9,8,0,7,0,0,0,0,0,0,0
1,10,1,2777.41408,1747.39564550358,82,0,0,2,0,0,0
1,10,2,2858.102784,1187.05280128935,58,0,0,64,0,0,0
1,10,3,2847.674112,838.416954426069,57,0,0,61,0,0,0
1,10,4,2862.488,1892.44423312901,68,0,0,66,0,0,0
1,10,5,2850.52672,881.28254449013,53,0,0,41,0,0,0
1,10,6,2864.70784,1554.93938227889,48,0,0,52,0,0,0
1,10,7,20316.1588479994,9225.0382572569,247,10,0,218,0,0,7
1,10,8,0,7,0,0,0,0,0,0,0
1,11,1,2788.06048,1099.02742451234,48,0,0,102,0,0,0
1,11,2,2880.30016,1241.43086383554,0,0,0,118,0,0,0
1,11,3,2860.80875520001,1071.57227150744,0,0,0,83,0,0,0
1,11,4,2895.10944,1607.99023163104,24,0,0,153,0,0,0
1,11,5,2864.604864,971.050460207327,0,0,0,88,0,0,0
1,11,6,2892.72576,496.764660707814,0,0,0,155,0,0,0
1,11,7,20360.1043839993,10502.8666884956,342,0,0,409,0,0,0
1,11,8,0,7,0,0,0,0,0,0,0
1,12,1,2779.54144,606.353319486234,87,0,0,14,0,0,0
1,12,2,2890.11968,1777.8229693011,20,0,0,102,0,0,0
1,12,3,2866.5415552,1400.81727379108,39,0,0,64,0,0,0
1,12,4,2904.11104,1803.4398333951,67,0,0,87,0,0,0
1,12,5,2870.67430400001,1106.28903955128,21,0,0,74,0,0,0
1,12,6,2889.46656,1141.92669528144,23,0,0,24,0,0,0
1,12,7,20427.4451839994,6210.98281703307,499,0,0,499,0,0,2
1,12,8,0,7,0,0,0,0,0,0,0
1,13,1,2779.22720000001,1413.25542138426,0,0,0,60,0,0,0
1,13,2,2912.02764800001,1099.43426867029,11,0,0,148,0,0,0
1,13,3,2886.66499840001,1771.11906298217,0,0,0,140,0,0,0
1,13,4,2925.20544,1535.54728449406,9,0,0,156,0,0,0
1,13,5,2882.82720000001,1185.38206640785,0,0,0,110,0,0,0
1,13,6,2905.31552,1321.97815728454,0,0,0,114,0,0,0
1,13,7,20448.2621567993,10232.7507206319,168,0,0,201,0,0,0
1,13,8,0,7,0,0,0,0,0,0,0
1,14,1,2796.54611200001,1119.52833168022,0,0,0,141,0,0,0
1,14,2,2922.22094080001,1538.04595063264,0,0,0,109,0,0,0
1,14,3,2909.72771840001,1178.36249920678,3,0,0,160,0,0,0
1,14,4,2950.03520000001,1010.26292417635,0,0,0,153,0,0,0
1,14,5,2892.92691200001,1111.51660677893,0,0,0,118,0,0,0
1,14,6,2927.73888000001,1632.56269042742,0,0,0,132,0,0,0
1,14,7,20523.4916377592,6660.89512975395,150,0,0,372,0,0,0
1,14,8,0,7,0,0,0,0,0,0,0
1,15,1,2803.926272,1548.09533947499,0,0,0,111,0,0,0
1,15,2,2938.72435200001,908.438132303226,4,0,0,144,0,0,0
1,15,3,2921.27779840001,1428.81200468902,0,0,0,117,0,0,0
1,15,4,2958.37120000001,530.14210228994,0,0,0,101,0,0,0
1,15,5,2898.97222400001,889.213977869332,0,0,0,111,0,0,0
1,15,6,2949.006016,1348.70220228908,5,0,0,151,0,0,0
1,15,7,20565.0125230072,9457.9816351462,201,0,0,263,0,0,0
1,15,8,0,7,0,0,0,0,0,0,0
1,16,1,2821.65073920001,629.903121860159,0,0,0,154,0,0,0
1,16,2,2941.39904000002,1667.87264394672,0,0,0,90,0,0,0
1,16,3,2936.80013056001,1179.75833044932,0,0,0,142,0,0,0
1,16,4,2951.37152000001,1928.57471332436,0,0,0,53,0,0,0
1,16,5,2900.14566656001,857.776667072685,0,0,0,88,0,0,0
1,16,6,2969.08896000001,970.270622687879,0,0,0,134,0,0,0
1,16,7,20612.2424750072,6267.18712569357,196,0,0,237,0,0,0
1,16,8,0,7,0,0,0,0,0,0,0
1,17,1,2815.06392320001,1261.06243084961,0,0,0,62,0,0,0
1,17,2,2953.11078144002,729.17329258171,4,0,0,155,0,0,0
1,17,3,2936.81652736001,438.276452892017,0,0,0,117,0,0,0
1,17,4,2969.48236800001,1492.96365581476,11,0,0,162,0,0,0
1,17,5,2894.85633536001,861.055822955495,0,0,0,85,0,0,0
1,17,6,2975.74176000001,935.072714972096,0,0,0,97,0,0,0
1,17,7,20648.0731950072,7854.37149583147,149,0,0,209,0,0,0
1,17,8,0,7,0,0,0,0,0,0,0
1,18,1,2828.29790720001,711.230848319001,0,0,0,126,0,0,0
1,18,2,2947.00690944002,1715.30391416585,0,0,0,72,0,0,0
1,18,3,2923.30491136002,1999.6741534764,0,0,0,43,0,0,0
1,18,4,2982.87480320001,465.596587672969,0,0,0,149,0,0,0
