"SIM","status","year"
1,TRUE,72
2,TRUE,74
3,TRUE,88
4,TRUE,56
5,TRUE,65
6,TRUE,91
7,TRUE,27
8,TRUE,33
9,TRUE,38
10,TRUE,79
11,TRUE,93
12,TRUE,40
13,FALSE,NA
14,FALSE,NA
15,TRUE,95
16,TRUE,40
17,TRUE,29
18,TRUE,43
19,TRUE,37
20,TRUE,42
21,TRUE,70
22,TRUE,66
23,FALSE,NA
24,TRUE,39
25,TRUE,35
26,TRUE,63
27,TRUE,76
28,TRUE,48
29,TRUE,66
30,TRUE,24
31,TRUE,73
32,TRUE,98
33,TRUE,56
34,TRUE,78
35,TRUE,73
36,TRUE,93
37,TRUE,92
38,FALSE,NA
39,TRUE,29
40,TRUE,17
41,TRUE,70
42,FALSE,NA
43,TRUE,49
44,TRUE,63
45,TRUE,69
46,TRUE,57
47,TRUE,84
48,TRUE,42
49,TRUE,85
50,TRUE,94
51,TRUE,79
52,TRUE,55
53,TRUE,81
54,TRUE,19
55,FALSE,NA
56,TRUE,73
57,FALSE,NA
58,TRUE,59
59,TRUE,79
60,TRUE,45
61,TRUE,5
62,FALSE,NA
63,TRUE,89
64,TRUE,83
65,TRUE,51
66,TRUE,30
67,TRUE,27
68,TRUE,55
69,TRUE,77
70,TRUE,67
71,TRUE,73
72,FALSE,NA
73,TRUE,47
74,TRUE,79
75,TRUE,66
76,TRUE,75
77,TRUE,60
78,TRUE,63
79,TRUE,59
80,TRUE,28
81,FALSE,NA
82,TRUE,38
83,FALSE,NA
84,TRUE,53
85,TRUE,88
86,TRUE,80
87,TRUE,54
88,TRUE,55
89,TRUE,87
90,TRUE,24
91,TRUE,41
92,TRUE,70
93,TRUE,19
94,TRUE,44
95,TRUE,91
96,TRUE,40
97,FALSE,NA
98,TRUE,70
99,TRUE,11
100,TRUE,40
