"SIM","YEAR","N","N_OBS"
1,1,586,586
1,2,603,603
1,3,614,614
1,4,638,638
1,5,745,745
1,6,789,789
1,7,838,838
1,8,911,911
1,9,972,972
1,10,1059,1059
1,11,672,672
1,12,711,711
1,13,768,768
1,14,835,835
1,15,917,917
1,16,983,983
1,17,1052,1052
1,18,812,812
1,19,900,900
1,20,979,979
1,21,1044,1044
1,22,691,691
1,23,738,738
1,24,810,810
1,25,893,893
1,26,962,962
1,27,1026,1026
1,28,749,749
1,29,836,836
1,30,902,902
1,31,983,983
1,32,1061,1061
1,33,724,724
1,34,815,815
1,35,873,873
1,36,944,944
1,37,1016,1016
1,38,716,716
1,39,795,795
1,40,867,867
1,41,936,936
1,42,1005,1005
1,43,593,593
1,44,646,646
1,45,692,692
1,46,766,766
1,47,827,827
1,48,888,888
1,49,954,954
1,50,1031,1031
1,51,741,741
1,52,789,789
1,53,842,842
1,54,899,899
1,55,969,969
1,56,1022,1022
1,57,715,715
1,58,764,764
1,59,822,822
1,60,895,895
1,61,955,955
1,62,1007,1007
1,63,707,707
1,64,758,758
1,65,801,801
1,66,866,866
1,67,916,916
1,68,967,967
1,69,1022,1022
1,70,759,759
1,71,808,808
1,72,850,850
1,73,908,908
1,74,956,956
1,75,1007,1007
1,76,727,727
1,77,774,774
1,78,831,831
1,79,876,876
1,80,915,915
1,81,952,952
1,82,1011,1011
1,83,761,761
1,84,813,813
1,85,857,857
1,86,892,892
1,87,921,921
1,88,979,979
1,89,1039,1039
1,90,748,748
1,91,811,811
1,92,848,848
1,93,869,869
1,94,913,913
1,95,966,966
1,96,1023,1023
1,97,737,737
1,98,795,795
1,99,831,831
1,100,858,858
2,1,936,936
2,2,934,934
2,3,922,922
2,4,937,937
2,5,1080,1080
2,6,721,721
2,7,780,780
2,8,830,830
2,9,884,884
2,10,946,946
2,11,997,997
2,12,1054,1054
2,13,732,732
2,14,784,784
2,15,841,841
2,16,890,890
2,17,945,945
2,18,981,981
2,19,1042,1042
2,20,738,738
2,21,806,806
2,22,842,842
2,23,898,898
2,24,942,942
2,25,988,988
2,26,1064,1064
2,27,724,724
2,28,781,781
2,29,821,821
2,30,879,879
2,31,911,911
2,32,946,946
2,33,1006,1006
2,34,669,669
2,35,730,730
2,36,770,770
2,37,816,816
2,38,860,860
2,39,894,894
2,40,941,941
2,41,997,997
2,42,1080,1080
2,43,637,637
2,44,694,694
2,45,732,732
2,46,766,766
2,47,813,813
2,48,852,852
2,49,892,892
2,50,948,948
2,51,1010,1010
2,52,747,747
2,53,797,797
2,54,837,837
2,55,883,883
2,56,943,943
2,57,1018,1018
2,58,683,683
2,59,720,720
2,60,771,771
2,61,788,788
2,62,831,831
2,63,873,873
2,64,935,935
2,65,1035,1035
2,66,740,740
2,67,778,778
2,68,825,825
2,69,869,869
2,70,936,936
2,71,1020,1020
2,72,662,662
2,73,702,702
2,74,716,716
2,75,746,746
2,76,777,777
2,77,805,805
2,78,863,863
2,79,941,941
2,80,1032,1032
2,81,714,714
2,82,757,757
2,83,797,797
2,84,870,870
2,85,950,950
2,86,1018,1018
2,87,626,626
2,88,669,669
2,89,710,710
2,90,754,754
2,91,797,797
2,92,869,869
2,93,948,948
2,94,1016,1016
2,95,683,683
2,96,718,718
2,97,771,771
2,98,845,845
2,99,911,911
2,100,982,982
3,1,973,973
3,2,966,966
3,3,981,981
3,4,1000,1000
3,5,1161,1161
3,6,732,732
3,7,771,771
3,8,808,808
3,9,863,863
3,10,928,928
3,11,993,993
3,12,1048,1048
3,13,636,636
3,14,660,660
3,15,688,688
3,16,733,733
3,17,786,786
3,18,844,844
3,19,900,900
3,20,952,952
3,21,1000,1000
3,22,1066,1066
3,23,733,733
3,24,792,792
3,25,835,835
3,26,884,884
3,27,942,942
3,28,989,989
3,29,1057,1057
3,30,636,636
3,31,668,668
3,32,703,703
3,33,744,744
3,34,802,802
3,35,858,858
3,36,901,901
3,37,947,947
3,38,993,993
3,39,1059,1059
3,40,746,746
3,41,775,775
3,42,827,827
3,43,865,865
3,44,914,914
3,45,965,965
3,46,1036,1036
3,47,714,714
3,48,743,743
3,49,793,793
3,50,836,836
3,51,877,877
3,52,928,928
3,53,991,991
3,54,1065,1065
3,55,750,750
3,56,783,783
3,57,819,819
3,58,853,853
3,59,905,905
3,60,970,970
3,61,1037,1037
3,62,768,768
3,63,797,797
3,64,840,840
3,65,891,891
3,66,965,965
3,67,1035,1035
3,68,798,798
3,69,840,840
3,70,888,888
3,71,954,954
3,72,1022,1022
3,73,759,759
3,74,791,791
3,75,829,829
3,76,889,889
3,77,952,952
3,78,1014,1014
3,79,824,824
3,80,873,873
3,81,933,933
3,82,988,988
3,83,1074,1074
3,84,890,890
3,85,962,962
3,86,1054,1054
3,87,849,849
3,88,914,914
3,89,972,972
3,90,1056,1056
3,91,850,850
3,92,911,911
3,93,995,995
3,94,1079,1079
3,95,831,831
3,96,897,897
3,97,957,957
3,98,1040,1040
3,99,873,873
3,100,943,943
4,1,1027,1027
4,2,993,993
4,3,1041,1041
4,4,731,731
4,5,848,848
4,6,909,909
4,7,956,956
4,8,1022,1022
4,9,699,699
4,10,732,732
4,11,792,792
4,12,863,863
4,13,938,938
4,14,1021,1021
4,15,614,614
4,16,657,657
4,17,683,683
4,18,725,725
4,19,772,772
4,20,848,848
4,21,910,910
4,22,984,984
4,23,1051,1051
4,24,698,698
4,25,755,755
4,26,823,823
4,27,886,886
4,28,948,948
4,29,1028,1028
4,30,731,731
4,31,787,787
4,32,840,840
4,33,907,907
4,34,967,967
4,35,1034,1034
4,36,731,731
4,37,792,792
4,38,843,843
4,39,915,915
4,40,979,979
4,41,1051,1051
4,42,825,825
4,43,892,892
4,44,970,970
4,45,1031,1031
4,46,838,838
4,47,914,914
4,48,974,974
4,49,1033,1033
4,50,699,699
4,51,763,763
4,52,817,817
4,53,886,886
4,54,942,942
4,55,996,996
4,56,1068,1068
