"SIM","YEAR","N","N_OBS"
1,1,998,998
1,2,1025,1025
1,3,529,529
1,4,558,558
1,5,650,650
1,6,701,701
1,7,758,758
1,8,816,816
1,9,869,869
1,10,941,941
1,11,1005,1005
1,12,1076,1076
1,13,1061,1061
1,14,1089,1089
1,15,1088,1088
1,16,1085,1085
1,17,1100,1100
1,18,1088,1088
1,19,1092,1092
1,20,1092,1092
1,21,1097,1097
1,22,1102,1102
1,23,1116,1116
1,24,1171,1171
1,25,1188,1188
1,26,1191,1191
1,27,1214,1214
1,28,1245,1245
1,29,1312,1312
1,30,1360,1360
1,31,1405,1405
1,32,1463,1463
1,33,1502,1502
1,34,1540,1540
1,35,1576,1576
1,36,1600,1600
1,37,1608,1608
1,38,1608,1608
1,39,1659,1659
1,40,1666,1666
1,41,1656,1656
1,42,1649,1649
1,43,1661,1661
1,44,1653,1653
1,45,1635,1635
1,46,1622,1622
1,47,1606,1606
1,48,1604,1604
1,49,1606,1606
1,50,1587,1587
1,51,1601,1601
1,52,1594,1594
1,53,1596,1596
1,54,1605,1605
1,55,1581,1581
1,56,1590,1590
1,57,1599,1599
1,58,1564,1564
1,59,1562,1562
1,60,1583,1583
1,61,1595,1595
1,62,1598,1598
1,63,1605,1605
1,64,1574,1574
1,65,1578,1578
1,66,1561,1561
1,67,1552,1552
1,68,1552,1552
1,69,1553,1553
1,70,1556,1556
1,71,1530,1530
1,72,1510,1510
1,73,1502,1502
1,74,1495,1495
1,75,1482,1482
1,76,1485,1485
1,77,1495,1495
1,78,1514,1514
1,79,1501,1501
1,80,1498,1498
1,81,1497,1497
1,82,1493,1493
1,83,1482,1482
1,84,1475,1475
1,85,1472,1472
1,86,1468,1468
1,87,1482,1482
1,88,1467,1467
1,89,1463,1463
1,90,1461,1461
1,91,1470,1470
1,92,1452,1452
1,93,1472,1472
1,94,1455,1455
1,95,1435,1435
1,96,1429,1429
1,97,1442,1442
1,98,1445,1445
1,99,1432,1432
1,100,1440,1440
2,1,1005,1005
2,2,834,834
2,3,823,823
2,4,868,868
2,5,991,991
2,6,1014,1014
2,7,994,994
2,8,1043,1043
2,9,1067,1067
2,10,1122,1122
2,11,1180,1180
2,12,1218,1218
2,13,1282,1282
2,14,1333,1333
2,15,1352,1352
2,16,1381,1381
2,17,1417,1417
2,18,1512,1512
2,19,1603,1603
2,20,1679,1679
2,21,1786,1786
2,22,1833,1833
2,23,1858,1858
2,24,1877,1877
2,25,1939,1939
2,26,1974,1974
2,27,2014,2014
2,28,2066,2066
2,29,2138,2138
2,30,2212,2212
2,31,2272,2272
2,32,2314,2314
2,33,2354,2354
2,34,2394,2394
2,35,2465,2465
2,36,2513,2513
2,37,2543,2543
2,38,2566,2566
2,39,2563,2563
2,40,2582,2582
2,41,2585,2585
2,42,2580,2580
2,43,2591,2591
2,44,2597,2597
2,45,2611,2611
2,46,2629,2629
2,47,2671,2671
2,48,2715,2715
2,49,2684,2684
2,50,2677,2677
2,51,2736,2736
2,52,2719,2719
2,53,2693,2693
2,54,2680,2680
2,55,2695,2695
2,56,2709,2709
2,57,2706,2706
2,58,2718,2718
2,59,2713,2713
2,60,2737,2737
2,61,2748,2748
2,62,2782,2782
2,63,2804,2804
2,64,2795,2795
2,65,2814,2814
2,66,2810,2810
2,67,2777,2777
2,68,2777,2777
2,69,2785,2785
2,70,2794,2794
2,71,2789,2789
2,72,2749,2749
2,73,2724,2724
2,74,2733,2733
2,75,2769,2769
2,76,2799,2799
2,77,2757,2757
2,78,2754,2754
2,79,2748,2748
2,80,2736,2736
2,81,2718,2718
2,82,2711,2711
2,83,2696,2696
2,84,2676,2676
2,85,2701,2701
2,86,2700,2700
2,87,2730,2730
2,88,2723,2723
2,89,2693,2693
2,90,2674,2674
2,91,2645,2645
2,92,2632,2632
2,93,2677,2677
2,94,2696,2696
2,95,2700,2700
2,96,2649,2649
2,97,2636,2636
2,98,2664,2664
2,99,2676,2676
