"SIM","status","year"
1,TRUE,3
2,TRUE,2
3,FALSE,NA
4,FALSE,NA
5,FALSE,NA
6,TRUE,82
7,FALSE,NA
8,TRUE,56
9,FALSE,NA
10,FALSE,NA
11,TRUE,2
12,TRUE,2
13,FALSE,NA
14,FALSE,NA
15,TRUE,92
16,FALSE,NA
17,TRUE,80
18,TRUE,60
19,TRUE,50
20,TRUE,33
21,FALSE,NA
22,TRUE,2
23,FALSE,NA
24,TRUE,66
25,FALSE,NA
26,TRUE,88
27,FALSE,NA
28,TRUE,47
29,TRUE,2
30,TRUE,71
31,FALSE,NA
32,FALSE,NA
33,TRUE,47
34,FALSE,NA
35,FALSE,NA
36,FALSE,NA
37,FALSE,NA
38,FALSE,NA
39,FALSE,NA
40,TRUE,95
41,FALSE,NA
42,TRUE,69
43,FALSE,NA
44,FALSE,NA
45,TRUE,2
46,FALSE,NA
47,TRUE,2
48,TRUE,84
49,FALSE,NA
50,FALSE,NA
51,FALSE,NA
52,TRUE,71
53,TRUE,82
54,FALSE,NA
55,FALSE,NA
56,TRUE,44
57,FALSE,NA
58,FALSE,NA
59,FALSE,NA
60,FALSE,NA
61,TRUE,77
62,TRUE,2
63,TRUE,23
64,FALSE,NA
65,TRUE,89
66,FALSE,NA
67,FALSE,NA
68,TRUE,71
69,FALSE,NA
70,FALSE,NA
71,FALSE,NA
72,FALSE,NA
73,FALSE,NA
74,TRUE,88
75,FALSE,NA
76,TRUE,82
77,TRUE,77
78,FALSE,NA
79,TRUE,2
80,FALSE,NA
81,FALSE,NA
82,FALSE,NA
83,FALSE,NA
84,FALSE,NA
85,FALSE,NA
86,TRUE,25
87,FALSE,NA
88,FALSE,NA
89,TRUE,2
90,TRUE,55
91,TRUE,75
92,FALSE,NA
93,TRUE,2
94,FALSE,NA
95,FALSE,NA
96,TRUE,77
97,FALSE,NA
98,TRUE,67
99,FALSE,NA
100,TRUE,67
