"SIM","YEAR","usr","yld","bud","scares","kills","castr","crops","feeds","helps","noact"
1,1,1,2808.248,506.570182072695,41,0,0,32,0,0,0
1,1,2,2805.1152,905.885154935114,33,0,0,24,0,0,0
1,1,3,2808.8896,1026.86477972772,15,0,0,7,0,0,0
1,1,4,2805.448,231.280196800189,6,0,0,18,0,0,0
1,1,5,2809.792,328.130172688607,41,0,0,20,0,0,0
1,1,6,2817.5936,539.946296880044,53,0,0,44,0,0,0
1,1,7,20145.1311999998,4375.81565893356,11,0,0,11,0,0,0
1,1,8,0,9,48,0,0,51,0,0,0
1,2,1,2801.288,469.597065638876,48,0,0,2,0,0,0
1,2,2,2808.1072,485.082223135552,40,0,0,50,0,0,0
1,2,3,2812.9936,527.111697837739,36,0,0,66,0,0,0
1,2,4,2803.216,753.731161195957,6,0,0,17,0,0,0
1,2,5,2809.512,305.012264653555,16,0,0,16,0,0,0
1,2,6,2819.8336,232.991825029358,31,0,0,22,0,0,0
1,2,7,20115.5567999998,4854.91524653046,194,0,0,243,0,0,0
1,2,8,0,9,0,0,0,0,0,0,0
1,3,1,2794.24,553.018312703114,46,0,0,0,0,0,0
1,3,2,2807.5792,402.051786068329,21,0,0,27,0,0,0
1,3,3,2811.6816,587.601138086889,24,0,0,28,0,0,0
1,3,4,2799.7424,564.427693601325,41,0,0,34,0,0,0
1,3,5,2804.592,217.895490586182,24,0,0,6,0,0,0
1,3,6,2818.1616,530.489126870925,1,0,0,22,0,0,0
1,3,7,20090.7327999998,3658.54201572102,250,0,0,232,0,0,0
1,3,8,0,9,0,0,0,0,0,0,0
1,4,1,2790.552,659.421952540468,29,0,0,23,0,0,0
1,4,2,2805.4912,646.44300003929,10,0,0,29,0,0,0
1,4,3,2810.19808,439.394351053506,16,0,0,41,0,0,0
1,4,4,2801.776,533.361222026722,0,0,0,56,0,0,0
1,4,5,2801.32,451.940825328097,2,0,0,19,0,0,0
1,4,6,2822.2336,195.484940022554,0,0,0,53,0,0,0
1,4,7,20059.6687999997,7416.6445891102,172,0,0,175,0,0,0
1,4,8,0,9,0,0,0,0,0,0,0
1,5,1,2782.144,780.282619124194,63,0,0,2,0,0,0
1,5,2,2802.5952,1019.30623424718,34,0,0,30,0,0,0
1,5,3,2802.95168,577.750444779835,23,0,0,20,0,0,0
1,5,4,2793.5312,456.089263138265,30,0,0,23,0,0,0
1,5,5,2793.35968,672.741294124634,23,0,0,22,0,0,0
1,5,6,2812.1776,304.563549251147,12,0,0,7,0,0,0
1,5,7,20052.6767999997,8373.25099227553,285,12,0,299,0,0,0
1,5,8,0,9,0,0,0,0,0,0,0
1,6,1,2791.288,898.68325274538,0,0,0,78,0,0,0
1,6,2,2811.3072,345.043762076395,4,0,0,97,0,0,0
1,6,3,2803.45408,263.476127411391,1,0,0,56,0,0,0
1,6,4,2787.1728,844.574225358691,3,0,0,42,0,0,0
1,6,5,2794.05728000001,438.141956607478,0,0,0,67,0,0,0
1,6,6,2802.80896,521.929423306909,2,0,0,28,0,0,0
1,6,7,20043.2399999997,1822.5100023535,268,21,0,271,0,0,15
1,6,8,0,9,0,0,0,0,0,0,0
1,7,1,2778.12,758.279624787939,86,0,0,3,0,0,0
1,7,2,2799.6672,449.65961054811,20,0,0,14,0,0,0
1,7,3,2789.78784,858.95296937208,14,0,0,12,0,0,0
1,7,4,2778.15968,341.952272572571,46,0,0,38,0,0,0
1,7,5,2778.19808000001,350.135058482241,27,0,0,16,0,0,0
1,7,6,2796.98507520001,440.226165859623,24,0,0,28,0,0,0
1,7,7,20020.9087999997,2299.41821996292,92,0,0,90,0,0,0
1,7,8,0,9,0,0,0,0,0,0,0
1,8,1,2783.98752,622.042021546507,0,0,0,75,0,0,0
1,8,2,2794.1072,987.716944417833,0,0,0,44,0,0,0
1,8,3,2791.61184,393.998181916936,0,0,0,85,0,0,0
1,8,4,2766.79488000001,713.135856575475,0,0,0,34,0,0,0
1,8,5,2773.83808000001,1394.87196385888,0,0,0,35,0,0,0
1,8,6,2792.1898752,660.424948888725,0,0,0,44,0,0,0
1,8,7,19995.7356799996,4648.30784188223,21,0,0,168,0,0,0
1,8,8,0,9,0,0,0,0,0,0,0
1,9,1,2778.53792,566.423641995419,41,0,0,21,0,0,0
1,9,2,2790.7664,121.887317044112,50,0,0,48,0,0,0
1,9,3,2780.52704,669.320534918698,14,0,0,25,0,0,0
1,9,4,2752.28422400001,392.231287147933,48,0,0,23,0,0,0
1,9,5,2770.81600000001,463.293947526222,82,0,0,57,0,0,0
1,9,6,2785.20273920001,850.12535622971,31,0,0,35,0,0,0
