"SIM","YEAR","N","N_OBS"
1,1,996,996
1,2,1000,1000
1,3,1052,1052
1,4,747,747
1,5,833,833
1,6,885,885
1,7,957,957
1,8,1018,1018
1,9,794,794
1,10,846,846
1,11,933,933
1,12,981,981
1,13,1037,1037
1,14,853,853
1,15,935,935
1,16,1023,1023
1,17,829,829
1,18,891,891
1,19,990,990
1,20,1042,1042
1,21,674,674
1,22,699,699
1,23,727,727
1,24,778,778
1,25,821,821
1,26,915,915
1,27,986,986
1,28,1024,1024
1,29,741,741
1,30,805,805
1,31,904,904
1,32,956,956
1,33,1013,1013
1,34,838,838
1,35,913,913
1,36,953,953
1,37,972,972
1,38,998,998
1,39,1031,1031
1,40,795,795
1,41,860,860
1,42,909,909
1,43,954,954
1,44,1001,1001
1,45,813,813
1,46,875,875
1,47,931,931
1,48,980,980
1,49,1015,1015
1,50,730,730
1,51,819,819
1,52,881,881
1,53,916,916
1,54,964,964
1,55,999,999
1,56,1028,1028
1,57,747,747
1,58,766,766
1,59,816,816
1,60,852,852
1,61,898,898
1,62,949,949
1,63,985,985
1,64,1018,1018
1,65,786,786
1,66,810,810
1,67,842,842
1,68,875,875
1,69,922,922
1,70,942,942
1,71,969,969
1,72,996,996
1,73,1048,1048
1,74,772,772
1,75,809,809
1,76,850,850
1,77,898,898
1,78,896,896
1,79,920,920
1,80,936,936
1,81,935,935
1,82,952,952
1,83,1008,1008
1,84,710,710
1,85,754,754
1,86,793,793
1,87,829,829
1,88,848,848
1,89,865,865
1,90,887,887
1,91,902,902
1,92,922,922
1,93,936,936
1,94,1001,1001
1,95,888,888
1,96,917,917
1,97,982,982
1,98,1043,1043
1,99,724,724
1,100,731,731
2,1,1005,1005
2,2,831,831
2,3,844,844
2,4,881,881
2,5,1019,1019
2,6,763,763
2,7,778,778
2,8,801,801
2,9,842,842
2,10,901,901
2,11,949,949
2,12,991,991
2,13,1045,1045
2,14,840,840
2,15,888,888
2,16,919,919
2,17,950,950
2,18,1007,1007
2,19,880,880
2,20,951,951
2,21,1003,1003
2,22,1056,1056
2,23,750,750
2,24,793,793
2,25,846,846
2,26,898,898
2,27,956,956
2,28,986,986
2,29,1046,1046
2,30,827,827
2,31,873,873
2,32,944,944
2,33,984,984
2,34,1054,1054
2,35,786,786
2,36,829,829
2,37,875,875
2,38,920,920
2,39,957,957
2,40,1010,1010
2,41,868,868
2,42,925,925
2,43,964,964
2,44,1027,1027
2,45,742,742
2,46,781,781
2,47,829,829
2,48,882,882
2,49,927,927
2,50,991,991
2,51,1066,1066
2,52,911,911
2,53,977,977
2,54,1051,1051
2,55,849,849
2,56,876,876
2,57,915,915
2,58,945,945
2,59,983,983
2,60,1059,1059
2,61,873,873
2,62,944,944
2,63,1010,1010
2,64,856,856
2,65,916,916
2,66,982,982
2,67,1062,1062
2,68,880,880
2,69,933,933
2,70,990,990
2,71,1076,1076
2,72,835,835
2,73,878,878
2,74,913,913
2,75,955,955
2,76,1032,1032
2,77,837,837
2,78,887,887
2,79,942,942
2,80,1033,1033
2,81,878,878
2,82,935,935
2,83,1022,1022
2,84,795,795
2,85,843,843
2,86,896,896
2,87,963,963
2,88,1039,1039
2,89,912,912
2,90,982,982
2,91,1074,1074
2,92,834,834
2,93,900,900
2,94,950,950
2,95,1037,1037
2,96,875,875
2,97,949,949
2,98,975,975
2,99,1038,1038
2,100,839,839
3,1,1028,1028
3,2,930,930
3,3,963,963
3,4,1024,1024
3,5,824,824
3,6,895,895
3,7,974,974
3,8,1070,1070
3,9,820,820
3,10,901,901
3,11,990,990
3,12,1079,1079
3,13,643,643
3,14,679,679
3,15,744,744
3,16,802,802
3,17,873,873
3,18,958,958
3,19,1045,1045
3,20,899,899
3,21,966,966
3,22,1043,1043
