"SIM","YEAR","N","N_OBS"
1,1,1057,1057
1,2,1076,1076
1,3,930,930
1,4,997,997
1,5,1210,1210
1,6,1098,1098
1,7,1000,1000
1,8,1100,1100
1,9,1117,1117
1,10,1129,1129
1,11,1145,1145
1,12,1162,1162
1,13,1225,1225
1,14,1264,1264
1,15,1287,1287
1,16,1329,1329
1,17,1372,1372
1,18,1450,1450
1,19,1462,1462
1,20,1498,1498
1,21,1542,1542
1,22,1530,1530
1,23,1532,1532
1,24,1553,1553
1,25,1602,1602
1,26,1652,1652
1,27,1690,1690
1,28,1712,1712
1,29,1761,1761
1,30,1785,1785
1,31,1838,1838
1,32,1887,1887
1,33,1944,1944
1,34,1982,1982
1,35,2002,2002
1,36,2024,2024
1,37,2002,2002
1,38,2016,2016
1,39,2029,2029
1,40,1999,1999
1,41,2017,2017
1,42,2050,2050
1,43,2007,2007
1,44,2008,2008
1,45,2061,2061
1,46,2090,2090
1,47,2093,2093
1,48,2129,2129
1,49,2174,2174
1,50,2207,2207
1,51,2186,2186
1,52,2156,2156
1,53,2173,2173
1,54,2172,2172
1,55,2194,2194
1,56,2224,2224
1,57,2244,2244
1,58,2295,2295
1,59,2334,2334
1,60,2337,2337
1,61,2373,2373
1,62,2388,2388
1,63,2438,2438
1,64,2513,2513
1,65,2565,2565
1,66,2629,2629
1,67,2681,2681
1,68,2755,2755
1,69,2835,2835
1,70,2898,2898
1,71,2994,2994
1,72,3112,3112
1,73,3190,3190
1,74,3254,3254
1,75,3345,3345
1,76,3484,3484
1,77,3568,3568
1,78,3688,3688
1,79,3813,3813
1,80,3918,3918
1,81,4004,4004
1,82,4156,4156
1,83,4286,4286
1,84,4391,4391
1,85,4523,4523
1,86,4615,4615
1,87,4794,4794
1,88,4997,4997
1,89,5187,5187
1,90,5408,5408
1,91,5631,5631
1,92,5885,5885
1,93,6076,6076
1,94,6272,6272
1,95,6534,6534
1,96,6861,6861
1,97,7119,7119
1,98,7538,7538
1,99,7914,7914
1,100,8217,8217
2,1,1032,1032
2,2,857,857
2,3,914,914
2,4,991,991
2,5,1190,1190
2,6,1080,1080
2,7,1038,1038
2,8,1026,1026
2,9,1042,1042
2,10,1057,1057
2,11,1029,1029
2,12,1009,1009
2,13,1088,1088
2,14,1124,1124
2,15,1118,1118
2,16,1106,1106
2,17,1114,1114
2,18,1143,1143
2,19,1138,1138
2,20,1130,1130
2,21,1158,1158
2,22,1165,1165
2,23,1174,1174
2,24,1197,1197
2,25,1205,1205
2,26,1204,1204
2,27,1194,1194
2,28,1202,1202
2,29,1184,1184
2,30,1172,1172
2,31,1166,1166
2,32,1163,1163
2,33,1166,1166
2,34,1164,1164
2,35,1198,1198
2,36,1201,1201
2,37,1202,1202
2,38,1232,1232
2,39,1232,1232
2,40,1227,1227
2,41,1245,1245
2,42,1232,1232
2,43,1218,1218
2,44,1230,1230
2,45,1233,1233
2,46,1221,1221
2,47,1225,1225
2,48,1239,1239
2,49,1248,1248
2,50,1258,1258
2,51,1267,1267
2,52,1244,1244
2,53,1252,1252
2,54,1230,1230
2,55,1237,1237
2,56,1246,1246
2,57,1246,1246
2,58,1263,1263
2,59,1276,1276
2,60,1289,1289
2,61,1280,1280
2,62,1287,1287
