"SIM","YEAR","N","N_OBS"
1,1,1031,1031
1,2,809,809
1,3,829,829
1,4,853,853
1,5,984,984
1,6,1038,1038
1,7,820,820
1,8,855,855
1,9,894,894
1,10,955,955
1,11,1064,1064
1,12,841,841
1,13,874,874
1,14,937,937
1,15,1044,1044
1,16,898,898
1,17,984,984
1,18,1069,1069
1,19,886,886
1,20,968,968
1,21,1066,1066
1,22,918,918
1,23,1027,1027
1,24,908,908
1,25,1002,1002
1,26,911,911
1,27,1001,1001
1,28,873,873
1,29,960,960
1,30,1047,1047
1,31,867,867
1,32,950,950
1,33,1038,1038
1,34,963,963
1,35,1040,1040
1,36,913,913
1,37,1018,1018
1,38,922,922
1,39,1009,1009
1,40,878,878
1,41,979,979
1,42,1048,1048
1,43,905,905
1,44,997,997
1,45,1060,1060
1,46,1026,1026
1,47,1003,1003
1,48,1075,1075
1,49,950,950
1,50,996,996
1,51,1051,1051
1,52,866,866
1,53,972,972
1,54,1026,1026
1,55,908,908
1,56,973,973
1,57,1032,1032
1,58,924,924
1,59,971,971
1,60,1041,1041
1,61,981,981
1,62,1052,1052
1,63,974,974
1,64,1040,1040
1,65,927,927
1,66,971,971
1,67,1042,1042
1,68,969,969
1,69,1037,1037
1,70,928,928
1,71,981,981
1,72,1070,1070
1,73,988,988
1,74,1062,1062
1,75,1028,1028
1,76,1120,1120
1,77,1052,1052
1,78,1002,1002
1,79,1091,1091
1,80,1074,1074
1,81,1070,1070
1,82,963,963
1,83,1064,1064
1,84,1041,1041
1,85,1020,1020
1,86,1132,1132
1,87,1028,1028
1,88,1077,1077
1,89,1015,1015
1,90,1091,1091
1,91,981,981
1,92,1074,1074
1,93,1029,1029
1,94,1149,1149
1,95,1151,1151
1,96,1188,1188
1,97,1119,1119
1,98,1164,1164
1,99,1155,1155
1,100,1151,1151
2,1,932,932
2,2,905,905
2,3,918,918
2,4,923,923
2,5,1050,1050
2,6,822,822
2,7,824,824
2,8,848,848
2,9,869,869
2,10,907,907
2,11,957,957
2,12,1009,1009
2,13,709,709
2,14,714,714
2,15,726,726
2,16,743,743
2,17,756,756
2,18,767,767
2,19,783,783
2,20,803,803
2,21,828,828
2,22,851,851
2,23,879,879
2,24,942,942
2,25,961,961
2,26,1004,1004
2,27,773,773
2,28,796,796
2,29,829,829
2,30,873,873
2,31,918,918
2,32,958,958
2,33,994,994
2,34,1064,1064
2,35,955,955
2,36,1021,1021
2,37,892,892
2,38,942,942
2,39,1000,1000
2,40,1091,1091
2,41,892,892
2,42,953,953
2,43,1022,1022
2,44,934,934
2,45,1004,1004
2,46,972,972
2,47,1072,1072
2,48,951,951
2,49,1044,1044
2,50,970,970
2,51,1079,1079
2,52,1035,1035
2,53,946,946
2,54,1040,1040
2,55,914,914
2,56,1003,1003
2,57,950,950
2,58,1054,1054
2,59,963,963
2,60,1062,1062
2,61,989,989
2,62,1081,1081
2,63,1058,1058
2,64,965,965
2,65,1053,1053
2,66,918,918
2,67,1019,1019
2,68,874,874
2,69,957,957
2,70,1041,1041
2,71,999,999
2,72,1100,1100
2,73,1035,1035
2,74,839,839
2,75,920,920
2,76,1015,1015
2,77,883,883
2,78,983,983
2,79,1072,1072
2,80,970,970
2,81,1070,1070
2,82,1016,1016
2,83,1095,1095
2,84,1096,1096
